CIPLA IN Equity,price,volume,mc,pe,bm,div
2024-05-31,1447.2,61424199.0,1168535.469,28.3487,4.3751,8.5
2024-06-30,1480.8,36353148.0,1195772.653,29.0069,4.4766,8.5
2024-07-31,1544.3,40963316.0,1247104.26,30.2507,4.6686,8.5
2024-08-31,1654.9,33449932.0,1336430.912,32.4172,5.003,13.0
2024-09-30,1654.1,30528006.0,1335784.864,32.4016,5.0005,13.0
2024-10-31,1551.75,59643426.0,1253186.23,30.3967,4.6911,13.0
2024-11-30,1533.9,38251985.0,1238796.826,30.047,4.6372,13.0
2024-12-31,1529.0,52633466.0,1234841.867,29.951,4.6223,13.0
2025-01-31,1479.4,36138841.0,1194784.211,28.9794,4.4724,13.0
2025-02-28,1407.5,34441232.0,1136718.03,27.571,4.255,13.0
2025-03-31,1442.2,25701530.0,1164745.411,22.0891,3.7339,13.0
2025-04-30,1550.1,30301282.0,1251887.298,23.7418,4.0133,13.0
2025-05-31,1465.7,48047330.0,1183758.537,22.4491,3.7948,13.0
2025-06-30,1505.9,26399240.0,1216327.214,23.0648,3.8989,16.0
2025-07-31,1554.6,40279290.0,1255730.048,23.8107,4.025,16.0
2025-08-31,1589.4,28710268.0,1283844.325,24.3437,4.1151,16.0
2025-09-30,1503.3,24685426.0,1214314.169,23.025,3.8921,16.0
2025-10-31,1501.3,34446775.0,1212698.638,22.9943,3.887,16.0
2025-11-30,1531.3,24597625.0,1236940.059,23.4538,3.9646,16.0
2025-12-31,1511.3,25175190.0,1220785.518,23.1475,3.9128,16.0
2026-01-31,1324.0,52160847.0,1069489.861,20.2788,3.4279,16.0
2026-02-28,1348.2,34547647.0,1089049.909,20.6494,3.4906,16.0
2026-03-31,1327.4,5193268.0,1072248.09,20.3308,3.4367,16.0
