HAVL IN Equity,price,volume,mc,pe,bm,div
2016-12-31,342.25,23910651.0,213856.7424,16.4385,7.0604,6.0
2017-01-31,420.05,47697723.0,262470.4884,20.1753,8.6653,6.0
2017-02-28,406.1,30727201.0,253753.7563,19.5053,8.3776,3.0
2017-03-31,465.75,31400567.0,291026.3777,60.3303,8.8814,3.0
2017-04-30,483.9,16908064.0,302367.5023,62.6813,9.2275,3.0
2017-05-31,487.4,36941366.0,304554.496,63.1347,9.2942,3.0
2017-06-30,460.0,20296071.0,287568.3093,59.5855,8.7717,3.5
2017-07-31,472.8,27254244.0,295570.2101,61.2435,9.0158,3.5
2017-08-31,488.35,24408047.0,305291.2693,63.2578,9.3123,3.5
2017-09-30,483.15,23945064.0,302040.4971,62.5842,9.2132,3.5
2017-10-31,484.75,44513861.0,303040.7347,62.7915,9.2437,3.5
2017-11-30,509.3,30795236.0,318388.1239,65.9715,9.7118,3.5
2017-12-31,562.45,27320312.0,351614.766,72.8562,10.7253,3.5
2018-01-31,522.35,58661522.0,326546.3117,67.6619,9.9607,3.5
2018-02-28,507.65,23045281.0,317356.6223,65.7578,9.6804,3.5
2018-03-31,487.85,21258773.0,304978.6826,45.2971,8.1782,3.5
2018-04-30,547.25,27132552.0,342112.5018,50.8124,9.174,3.5
2018-05-31,544.15,34098764.0,340174.5416,50.5246,9.122,3.5
2018-06-30,543.35,22914347.0,339850.7056,50.4503,9.1086,3.5
2018-07-31,634.4,46664042.0,396800.0141,58.9044,10.6349,4.0
2018-08-31,725.25,29303230.0,453624.228,67.3398,12.1579,4.0
2018-09-30,594.5,26004410.0,371843.645,55.1996,9.9661,4.0
2018-10-31,645.8,39135670.0,403930.4053,59.9629,10.8261,4.0
2018-11-30,684.7,25852135.0,428261.3015,63.5747,11.4782,4.0
2018-12-31,691.5,20610874.0,432514.5173,64.2061,11.5922,4.0
2019-01-31,713.45,32128191.0,446243.6476,66.2442,11.9601,4.0
2019-02-28,715.35,27221244.0,447432.0462,66.4206,11.992,4.0
2019-03-31,772.5,26457441.0,483177.823,61.3095,11.5109,4.0
2019-04-30,774.65,21483048.0,484522.5897,61.4802,11.5429,4.0
2019-05-31,747.95,39464574.0,467822.463,59.3611,11.1451,4.0
2019-06-30,786.15,23145493.0,491715.5282,62.3929,11.7143,4.0
2019-07-31,645.3,40906712.0,403830.5688,51.2143,9.6155,4.5
2019-08-31,679.05,30149786.0,424951.4144,53.8929,10.1184,4.5
2019-09-30,718.3,26528294.0,449514.1757,57.0079,10.7032,4.5
2019-10-31,691.85,28587284.0,432961.6907,54.9087,10.3091,4.5
2019-11-30,667.45,25110541.0,417692.1016,52.9722,9.9455,4.5
2019-12-31,647.15,20122697.0,404988.304,51.3611,9.6431,4.5
2020-01-31,602.8,52488032.0,377233.9483,47.8413,8.9822,4.5
2020-02-29,613.05,39015111.0,383648.4274,48.6548,9.1349,4.5
2020-03-31,480.45,44667858.0,300666.9716,40.8546,6.9735,8.5
2020-04-30,563.5,38735087.0,352639.897,47.9167,8.1789,8.5
2020-05-31,496.25,62844229.0,310658.9542,42.1981,7.2028,8.5
2020-06-30,579.5,64967438.0,362774.537,49.2772,8.4112,8.5
2020-07-31,583.15,53564296.0,365059.4844,49.5876,8.4642,4.0
2020-08-31,615.55,39812436.0,385342.3058,52.3427,8.9344,4.0
2020-09-30,677.85,37136271.0,424342.9161,57.6403,9.8387,4.0
2020-10-31,727.9,37893820.0,455674.854,61.8963,10.5651,4.0
2020-11-30,801.4,66426828.0,501686.8086,68.1463,11.6319,4.0
2020-12-31,916.15,58349299.0,573521.799,77.9039,13.2975,4.0
2021-01-31,1044.75,96826818.0,654027.0692,88.8393,15.1641,3.0
2021-02-28,1105.55,51740835.0,692088.6589,94.0094,16.0465,3.0
2021-03-31,1050.4,45101214.0,657564.0426,62.9736,12.7034,3.0
2021-04-30,990.25,25326912.0,619909.3614,59.3675,11.9759,3.0
2021-05-31,1030.8,35811019.0,645294.188,61.7986,12.4663,3.0
2021-06-30,980.2,30205168.0,613902.2751,58.765,11.8544,6.5
2021-07-31,1173.65,50969139.0,735060.5946,70.3627,14.1939,6.5
2021-08-31,1268.45,48212439.0,794434.1253,76.0462,15.3404,6.5
2021-09-30,1373.1,36351137.0,859976.7413,82.3201,16.606,6.5
2021-10-31,1262.95,31527507.0,790989.4585,75.7164,15.2739,9.5
2021-11-30,1360.35,25564315.0,851991.3772,81.5558,16.4518,9.5
2021-12-31,1397.0,24414280.0,874945.3846,83.753,16.8951,9.5
2022-01-31,1184.4,21671423.0,741793.3526,71.0072,14.3239,6.5
2022-02-28,1185.7,19648812.0,742607.5465,71.0851,14.3397,6.5
2022-03-31,1152.55,26725342.0,721845.5999,60.3114,12.025,6.5
2022-04-30,1311.8,19771620.0,821584.3633,68.6447,13.6865,6.5
2022-05-31,1201.8,19634535.0,752691.0259,62.8885,12.5388,6.5
