CLGT IN Equity,price,volume,mc,pe,bm,div
2016-06-30,918.5,6336221.0,249818.8257,43.3255,24.2298,10.0
2016-07-31,933.35,6172111.0,253857.8127,44.0259,24.6216,10.0
2016-08-31,948.35,8345559.0,257937.5976,44.7335,25.0173,10.0
2016-09-30,970.65,5946136.0,264002.8777,45.7854,25.6055,10.0
2016-10-31,970.85,6062149.0,264057.2748,45.7948,25.6108,10.0
2016-11-30,933.7,6533282.0,253953.0077,44.0425,24.6308,10.0
2016-12-31,904.6,4854840.0,246038.2251,42.6698,23.8632,10.0
2017-01-31,887.65,7099768.0,241428.0682,41.8703,23.416,10.0
2017-02-28,900.25,13419114.0,244855.0875,42.4646,23.7484,10.0
2017-03-31,995.5,9898933.0,270761.7213,46.8912,21.2563,10.0
2017-04-30,1035.75,6524018.0,281709.144,48.7871,22.1157,10.0
2017-05-31,1014.55,9035093.0,275943.048,47.7885,21.663,10.0
2017-06-30,1110.85,8655400.0,302135.2668,52.3245,23.7193,10.0
2017-07-31,1079.55,7769561.0,293622.1157,50.8502,23.0509,10.0
2017-08-31,1112.55,7597178.0,302597.6424,52.4046,23.7556,10.0
2017-09-30,1066.75,5979412.0,290140.6993,50.2473,22.7776,10.0
2017-10-31,1064.65,6819985.0,289569.5294,50.1484,22.7328,10.0
2017-11-30,1036.65,7782030.0,281953.9189,48.8295,22.1349,10.0
2017-12-31,1100.0,4759245.0,299184.2095,51.8135,23.4876,11.0
2018-01-31,1121.35,5642186.0,304991.103,52.8191,23.9435,11.0
2018-02-28,1041.1,6736165.0,283164.2436,49.0391,22.2299,11.0
2018-03-31,1056.9,7315693.0,287461.6166,42.6858,18.8548,13.0
2018-04-30,1123.2,7102880.0,305494.2641,45.3635,20.0376,13.0
2018-05-31,1259.7,15585019.0,342620.3031,50.8764,22.4727,24.0
2018-06-30,1184.85,6337748.0,322262.1784,47.8534,21.1374,24.0
2018-07-31,1145.25,9360335.0,311491.5473,46.254,20.4309,24.0
2018-08-31,1169.0,10405633.0,317951.2061,47.2132,20.8546,24.0
2018-09-30,1081.45,9692279.0,294138.8639,43.6773,19.2928,24.0
2018-10-31,1117.5,10642315.0,303943.946,45.1333,19.9359,24.0
2018-11-30,1219.65,9133288.0,331727.2785,49.2589,21.7582,27.0
2018-12-31,1343.55,12894176.0,365426.2986,54.2629,23.9686,27.0
2019-01-31,1280.1,11634522.0,348168.8101,51.7003,22.8366,27.0
2019-02-28,1256.45,9132300.0,341736.3498,50.7452,22.4147,27.0
2019-03-31,1258.15,8877708.0,342198.7254,44.1147,23.6529,27.0
2019-04-30,1208.15,6070563.0,328599.4437,42.3615,22.7129,26.0
2019-05-31,1152.35,9634432.0,313422.6453,40.405,21.6639,15.0
