CIFC IN Equity,price,volume,mc,pe,bm,div
2016-05-31,195.11,23862120.0,152327.8841,25.7118,7.6058,0.7
2016-06-30,189.71,25936940.0,148132.1281,25.0002,7.3953,0.7
2016-07-31,218.47,25878495.0,170588.9306,28.7902,8.5164,0.9
2016-08-31,231.9,16614460.0,181075.539,30.56,9.04,0.9
2016-09-30,231.47,84673425.0,180739.7801,30.5033,9.0232,0.9
2016-10-31,237.16,10735675.0,185182.7386,31.2532,9.245,0.9
2016-11-30,194.09,40294935.0,151552.1835,25.5774,7.5661,0.9
2016-12-31,189.32,44802760.0,147920.7662,24.9488,7.3801,0.9
2017-01-31,205.77,49637355.0,160773.59,27.1166,8.0214,0.9
2017-02-28,194.74,33271170.0,152156.0619,25.663,7.5914,1.1
2017-03-31,193.01,39480325.0,150816.0839,20.9566,3.5103,1.1
2017-04-30,222.36,35217790.0,173749.8902,24.1433,4.0441,1.1
2017-05-31,205.57,36503675.0,160640.6208,22.3203,3.7387,1.1
2017-06-30,224.84,29309750.0,175703.4664,24.4126,4.0892,1.1
2017-07-31,239.64,33360885.0,187269.0744,26.0195,4.3584,1.1
2017-08-31,232.57,17681415.0,181744.1522,25.2519,4.2298,1.1
2017-09-30,218.45,23902230.0,170715.3982,23.7188,3.973,1.1
2017-10-31,230.24,35254530.0,179929.1064,24.9989,4.1874,1.1
2017-11-30,255.75,42335540.0,199871.1825,27.7687,4.6514,1.1
2017-12-31,259.91,24125105.0,203122.2641,28.2204,4.727,1.1
2018-01-31,257.21,26036265.0,201026.3336,27.9273,4.6779,1.1
2018-02-28,293.99,33870375.0,229762.0047,31.9207,5.3468,1.3
2018-03-31,290.09,30393035.0,226741.5963,24.6605,4.424,1.3
2018-04-30,348.29,35301015.0,272242.6199,29.6081,5.3116,1.3
2018-05-31,305.74,33524060.0,238987.7858,25.9909,4.6627,1.3
2018-06-30,302.52,31563800.0,236470.8084,25.7172,4.6136,1.3
2018-07-31,286.13,45902565.0,223667.821,24.3239,4.3636,1.3
2018-08-31,295.23,28411220.0,230787.9425,25.0975,4.5024,1.3
2018-09-30,233.35,45102085.0,182418.9917,19.8371,3.5587,1.3
2018-10-31,254.1,48078485.0,198644.8577,21.601,3.8751,1.3
2018-11-30,262.8,32586190.0,205447.7474,22.3406,4.0078,1.3
2018-12-31,251.94,40472315.0,196957.7834,21.4174,3.8422,1.3
2019-01-31,234.46,30872730.0,183292.7122,19.9314,3.5756,1.3
2019-02-28,246.22,31134155.0,192487.1324,20.9312,3.755,1.3
