ONGC IN Equity,price,volume,mc,pe,bm,div
2023-06-30,160.3,240200096.0,2016618.757,5.4935,0.7132,14.0
2023-07-31,177.05,178682228.0,2227338.433,6.0675,0.7877,14.0
2023-08-31,174.15,148750525.0,2190855.624,5.9681,0.7748,11.25
2023-09-30,191.85,247488578.0,2413526.566,6.5747,0.8535,11.25
2023-10-31,186.15,191850728.0,2341818.974,6.3794,0.8282,11.25
2023-11-30,194.95,217885183.0,2452525.431,6.6809,0.8673,10.25
2023-12-31,205.05,367371189.0,2579586.251,7.0271,0.9122,10.25
2024-01-31,252.25,586990369.0,3173375.43,8.6446,1.1222,10.25
2024-02-29,264.6,509622162.0,3328741.878,9.0679,1.1772,10.25
2024-03-31,268.05,305370819.0,3372143.841,6.8625,0.9945,10.25
2024-04-30,282.85,457314747.0,3558331.973,7.2414,1.0494,10.25
2024-05-31,264.35,319482441.0,3325596.808,6.7678,0.9808,10.25
2024-06-30,274.2,461121635.0,3449512.558,7.02,1.0173,10.25
2024-07-31,334.2,680281814.0,4204329.311,8.5561,1.24,10.25
2024-08-31,330.75,535868478.0,4160927.347,8.4677,1.2272,12.25
2024-09-30,297.6,423128083.0,3743891.092,7.619,1.1042,12.25
2024-10-31,266.15,316888936.0,3348241.311,6.8139,0.9875,12.25
2024-11-30,256.7,271667682.0,3229357.672,6.5719,0.9524,12.5
2024-12-31,239.25,218184811.0,3009831.8,6.1252,0.8877,12.5
2025-01-31,262.61,376689294.0,3303707.122,6.7232,0.9743,12.5
2025-02-28,225.25,197293068.0,2833707.891,5.7668,0.8357,13.5
2025-03-31,246.38,256584474.0,3099529.191,8.5549,0.9025,13.5
2025-04-30,244.45,286953427.0,3075249.252,8.4878,0.8954,13.5
2025-05-31,239.4,252431397.0,3011718.842,8.3125,0.8769,13.5
2025-06-30,244.21,359969296.0,3072229.985,8.4795,0.8945,13.5
2025-07-31,241.0,195045346.0,3031847.289,8.3681,0.8828,13.5
2025-08-31,233.71,178146011.0,2940137.053,8.1149,0.8561,13.5
2025-09-30,239.5,195675987.0,3012976.87,8.316,0.8773,12.25
2025-10-31,255.37,214564448.0,3212625.901,8.867,0.9354,12.25
2025-11-30,243.25,169263447.0,3060152.917,8.4462,0.891,12.25
2025-12-31,240.38,161875486.0,3024047.516,8.3465,0.8805,12.25
2026-01-31,268.96,376357567.0,3383591.895,9.3389,0.9852,12.25
2026-02-28,279.7,395396453.0,3518704.094,9.7118,1.0245,13.5
2026-03-31,276.55,176783183.0,3479076.061,9.6024,1.013,13.5
