CHOLAHLD IN Equity,price,volume,mc,pe,bm,div
2019-02-28,438.1,1686640.0,82227.9677,14.9662,2.4824,1.25
2019-03-31,486.4,1755584.0,91293.5026,13.122,2.315,1.25
2019-04-30,516.15,4188825.0,96881.0164,13.9246,2.4566,1.25
2019-05-31,499.15,2655679.0,93690.1276,13.466,2.3757,1.25
2019-06-30,466.75,1810086.0,87608.6688,12.5919,2.2215,1.25
2019-07-31,455.4,4868304.0,85482.6804,12.2857,2.1674,1.25
2019-08-31,450.2,4822900.0,84506.5936,12.1454,2.1427,1.25
2019-09-30,489.85,2010745.0,91951.5951,13.2151,2.3314,1.25
2019-10-31,456.2,1276171.0,85635.0264,12.3073,2.1712,1.25
2019-11-30,496.15,1861198.0,93134.1919,13.3851,2.3614,1.25
2019-12-31,499.65,1944389.0,93791.1902,13.4795,2.378,1.25
2020-01-31,547.05,5555469.0,102688.8233,14.7582,2.6036,1.25
2020-02-29,513.0,2183399.0,96298.3234,13.8396,2.4416,1.25
2020-03-31,290.0,6015567.0,54437.6487,9.905,1.1859,1.3
2020-04-30,297.0,4236871.0,55751.6609,10.1441,1.2145,1.3
2020-05-31,245.35,1161675.0,46056.128,8.38,1.0033,1.3
2020-06-30,295.3,2267256.0,55432.5437,10.086,1.2075,1.3
2020-07-31,331.6,1154250.0,62246.6355,11.3259,1.356,1.3
2020-08-31,436.65,2259423.0,81966.2045,14.9139,1.7855,1.3
2020-09-30,393.7,1040797.0,73904.5695,13.4469,1.6099,0.65
2020-10-31,387.25,1168203.0,72693.7881,13.2266,1.5835,0.65
2020-11-30,541.2,3099428.0,101592.9713,18.4848,2.2131,0.65
2020-12-31,536.2,4850958.0,100654.3814,18.314,2.1926,0.65
2021-01-31,499.85,6875685.0,93830.8328,17.0725,2.044,0.65
2021-02-28,599.95,3116643.0,112624.4055,20.4914,2.4533,0.65
2021-03-31,599.2,2468998.0,112483.6132,13.6453,2.0885,0.65
2021-04-30,568.25,2072769.0,106673.5868,12.9405,1.9806,0.65
2021-05-31,641.05,4071473.0,120343.0203,14.5983,2.2343,0.0
2021-06-30,662.2,3173085.0,124313.467,15.0799,2.308,0.0
2021-07-31,661.9,2236909.0,124257.1513,15.0731,2.307,0.55
2021-08-31,684.3,3224220.0,128462.2581,15.5832,2.3851,0.55
2021-09-30,688.25,2070794.0,129203.7836,15.6732,2.3988,0.55
2021-10-31,700.45,1708352.0,131494.065,15.951,2.4414,0.55
2021-11-30,698.65,1973606.0,131161.6041,15.91,2.4351,0.55
2021-12-31,652.15,2049822.0,122431.8902,14.8511,2.273,0.55
2022-01-31,700.25,3152055.0,131461.9813,15.9464,2.4407,0.55
2022-02-28,645.95,1318903.0,121272.5211,14.7099,2.2514,0.55
2022-03-31,618.55,2892247.0,116128.3658,11.3186,1.8016,0.55
2022-04-30,649.1,4356399.0,121863.9112,11.8776,1.8906,0.55
2022-05-31,621.65,1604655.0,116710.3688,11.3753,1.8107,0.55
2022-06-30,593.2,1092140.0,111372.0495,10.8547,1.7278,0.55
2022-07-31,632.9,1130795.0,118825.6408,11.5812,1.8434,0.55
2022-08-31,666.1,3681341.0,125058.8709,12.1887,1.9401,0.55
2022-09-30,653.6,3181239.0,122715.7412,11.9599,1.9037,0.55
2022-10-31,628.25,3087858.0,117956.1879,11.4961,1.8299,0.55
2022-11-30,590.5,3206509.0,110868.4902,10.8053,1.7199,0.55
2022-12-31,550.55,1874087.0,103371.649,10.0743,1.6036,0.55
2023-01-31,595.95,2342606.0,111895.9844,10.905,1.7358,0.55
2023-02-28,574.95,4047879.0,107953.0099,10.5208,1.6747,0.55
2023-03-31,544.7,1996710.0,102282.3836,7.8734,1.3352,0.55
2023-04-30,607.0,1720514.0,113980.9194,8.7739,1.4879,0.55
2023-05-31,799.65,5337460.0,150156.2475,11.5586,1.9601,0.55
2023-06-30,898.65,3847617.0,168746.2162,12.9896,2.2028,0.55
2023-07-31,974.8,3314403.0,183045.47,14.0903,2.3894,0.55
2023-08-31,984.1,3184039.0,184791.8004,14.2247,2.4122,0.55
2023-09-30,1160.45,11232771.0,217906.3558,16.7738,2.8445,0.55
2023-10-31,1138.2,5117280.0,213728.3072,16.4522,2.79,0.55
2023-11-30,981.85,3358833.0,184369.3011,14.1922,2.4067,0.55
2023-12-31,1040.05,5895198.0,195297.9494,15.0335,2.5494,0.55
2024-01-31,1179.75,5984605.0,221530.4608,17.0528,2.8918,0.55
2024-02-29,1051.8,4105095.0,197504.3345,15.2033,2.5782,0.55
2024-03-31,1111.5,2428078.0,208714.649,11.8572,2.0379,0.55
2024-04-30,1076.8,2319751.0,202198.7711,11.4871,1.9743,0.55
2024-05-31,1084.5,2962718.0,203644.6575,11.5692,1.9884,0.55
2024-06-30,1453.5,7603165.0,272934.541,15.5056,2.6649,0.55
2024-07-31,1517.65,14516999.0,284980.4652,16.19,2.7825,0.55
2024-08-31,1602.0,8905464.0,300819.4941,17.0898,2.9372,0.55
2024-09-30,2043.7,7573104.0,383760.7991,21.8018,3.747,0.55
