EXID IN Equity,price,volume,mc,pe,bm,div
2017-07-31,217.5,30420901.0,184875.0,23.0791,3.6739,2.4
2017-08-31,196.85,49694649.0,167322.5,20.8879,3.3251,2.4
2017-09-30,205.95,57097897.0,175057.5,21.8535,3.4788,2.4
2017-10-31,208.75,59265186.0,177437.5,22.1506,3.5261,2.4
2017-11-30,205.05,39648161.0,174292.5,21.758,3.4636,2.4
2017-12-31,223.35,36203440.0,189847.5,23.6998,3.7727,2.4
2018-01-31,223.35,43864859.0,189847.5,23.6998,3.7727,2.4
2018-02-28,207.4,32616578.0,176290.0,22.0074,3.5033,2.4
2018-03-31,222.85,35764216.0,189422.5,27.4108,3.489,2.4
2018-04-30,248.3,42495619.0,211055.0,30.5412,3.8874,2.4
2018-05-31,259.7,68356146.0,220745.0,31.9434,4.0659,2.4
2018-06-30,258.3,30949543.0,219555.0,31.7712,4.044,2.4
2018-07-31,279.75,46224792.0,237787.5,34.4096,4.3798,2.4
2018-08-31,285.1,62676437.0,242335.0,35.0677,4.4636,2.4
2018-09-30,265.45,34070479.0,225632.5,32.6507,4.1559,2.4
2018-10-31,266.05,38544517.0,226142.5,32.7245,4.1653,2.4
2018-11-30,262.8,45488684.0,223380.0,32.3247,4.1144,2.4
2018-12-31,267.95,26109646.0,227757.5,32.9582,4.1951,2.4
2019-01-31,226.9,37510471.0,192865.0,27.909,3.5524,2.4
2019-02-28,219.75,61851525.0,186787.5,27.0295,3.4404,2.4
2019-03-31,218.7,39281888.0,185895.0,21.9799,3.044,2.4
2019-04-30,214.15,47859090.0,182027.5,21.5226,2.9807,2.4
2019-05-31,212.95,44954554.0,181007.5,21.402,2.964,2.4
2019-06-30,201.3,23023318.0,171105.0,20.2312,2.8018,2.4
2019-07-31,183.25,40329999.0,155762.5,18.4171,2.5506,2.4
2019-08-31,178.55,25382066.0,151767.5,17.9447,2.4852,2.4
2019-09-30,195.2,49580085.0,165920.0,19.6181,2.7169,2.4
2019-10-31,193.1,57640912.0,164135.0,19.407,2.6877,2.4
2019-11-30,195.05,51607234.0,165792.5,19.603,2.7149,2.4
2019-12-31,186.5,47348110.0,158525.0,18.7437,2.5959,2.4
2020-01-31,197.15,45359360.0,167577.5,19.8141,2.7441,2.4
2020-02-29,164.35,60535603.0,139697.5,16.5176,2.2876,2.4
2020-03-31,131.6,69023121.0,111860.0,14.3982,1.7296,4.1
