INFO IN Equity,price,volume,mc,pe,bm,div
2018-10-31,686.4,202496547.0,2998467.679,18.2918,4.5805,22.25
2018-11-30,667.45,183069987.0,2915825.553,17.7868,4.454,22.25
2018-12-31,658.95,165343569.0,2878720.532,19.0724,4.409,22.25
2019-01-31,749.55,226263104.0,3274520.032,21.6946,5.0152,26.25
2019-02-28,734.3,124586854.0,3207901.4,21.2533,4.9131,26.25
2019-03-31,743.85,174721760.0,3249829.655,20.9949,4.966,26.25
2019-04-30,751.35,183091101.0,3279920.332,21.2066,5.016,26.25
2019-05-31,737.75,206920478.0,3220551.307,20.8227,4.9252,26.25
2019-06-30,732.0,131337327.0,3195450.433,20.3616,5.5359,21.5
2019-07-31,793.65,185357572.0,3464575.459,22.0765,6.0021,21.5
2019-08-31,814.9,157347147.0,3557339.56,22.6676,6.1628,21.5
2019-09-30,805.65,168069360.0,3516959.893,22.4041,5.6436,21.5
2019-10-31,685.6,409007110.0,2919567.389,19.0656,4.8026,22.5
2019-11-30,696.35,232369718.0,2965376.308,19.3646,4.8779,22.5
2019-12-31,731.15,151422303.0,3113637.37,19.1551,5.0938,22.5
2020-01-31,775.95,195449810.0,3304420.321,20.3288,5.406,18.5
2020-02-29,731.7,117949172.0,3116063.088,19.1695,5.0977,18.5
2020-03-31,641.5,326013567.0,2732075.008,16.4529,4.1565,18.5
2020-04-30,715.5,211600526.0,3047309.181,18.3509,4.636,18.5
2020-05-31,691.0,186488310.0,2942963.863,17.7225,4.4773,17.5
2020-06-30,735.95,250890716.0,3134524.849,18.3346,4.7242,17.5
2020-07-31,966.0,413503670.0,4114480.306,24.0658,6.2009,17.5
2020-08-31,928.6,161904403.0,3955265.405,23.134,5.9609,17.5
2020-09-30,1008.25,242996429.0,4294535.235,23.9489,6.0247,17.5
2020-10-31,1060.6,298503633.0,4517532.483,25.1924,6.3375,21.5
2020-11-30,1100.0,219153094.0,4685449.14,26.1283,6.5729,21.5
2020-12-31,1255.8,217323419.0,5349190.474,28.6451,7.4408,21.5
2021-01-31,1239.05,223165297.0,5277844.312,28.263,7.3415,21.5
2021-02-28,1253.3,145615316.0,5338917.494,28.588,7.426,21.5
2021-03-31,1368.05,178399713.0,5828797.196,29.9945,7.6064,21.5
2021-04-30,1354.35,184751373.0,5770597.021,29.6941,7.5302,21.5
2021-05-31,1393.75,120349116.0,5938955.49,30.558,7.7493,27.0
2021-06-30,1580.8,159076809.0,6736218.58,33.0228,9.3297,27.0
2021-07-31,1610.5,117944222.0,6862778.174,33.6432,9.505,27.0
2021-08-31,1706.45,141119064.0,7271647.2,35.6476,10.0713,27.0
2021-09-30,1675.2,120640827.0,7138482.457,33.9591,10.0375,27.0
2021-10-31,1667.75,155081529.0,7106735.983,33.808,9.9929,30.0
2021-11-30,1712.65,108108194.0,7202568.663,34.7182,10.2619,30.0
2021-12-31,1887.75,114665509.0,7939155.3,37.0583,11.4002,30.0
