ABB IN Equity,price,volume,mc,pe,bm,div
2013-05-31,577.25,8711750.0,135854.4762,89.0819,4.7083,3.0
2013-06-30,551.36,1657025.0,129762.091,85.0871,4.4972,3.0
2013-07-31,450.07,1201466.0,105922.3992,69.455,3.671,3.0
2013-08-31,403.79,868201.0,95030.309,62.3129,3.2935,3.0
2013-09-30,488.43,2688123.0,114949.6958,75.3743,3.9838,3.0
2013-10-31,566.63,2625282.0,133353.9379,87.4423,4.6217,3.0
2013-11-30,605.84,6237146.0,142582.5474,93.4936,4.9415,3.0
2013-12-31,624.25,3771822.0,146916.0736,73.7887,4.9405,3.0
2014-01-31,522.15,1469500.0,122885.6643,61.7194,4.1324,3.0
2014-02-28,645.5,13562879.0,151917.1111,76.3004,5.1087,3.0
2014-03-31,768.86,10227002.0,180948.558,90.8815,6.0849,3.0
2014-04-30,760.39,2248128.0,178956.6193,89.8811,6.0179,3.0
2014-05-31,815.36,3686303.0,191893.6253,96.3787,6.453,3.0
2014-06-30,1009.45,3060132.0,237570.4747,119.3199,7.989,3.0
2014-07-31,936.56,2329409.0,220416.4921,110.7043,7.4121,3.0
2014-08-31,887.49,962867.0,208867.4858,104.9038,7.0238,3.0
2014-09-30,1035.78,3419824.0,243768.7945,122.433,8.1974,3.0
2014-10-31,1052.35,1870125.0,247667.9086,124.3913,8.3285,3.0
2014-11-30,1002.42,1330271.0,235917.6026,118.4897,7.9334,3.0
2014-12-31,1159.99,4021268.0,273001.5676,107.6062,8.7416,3.0
2015-01-31,1156.03,1745566.0,272069.1575,107.2386,8.7118,3.0
2015-02-28,1260.16,3222073.0,296575.8613,116.8984,9.4965,3.0
2015-03-31,1134.6,2269831.0,267025.7383,105.2507,8.5503,3.0
2015-04-30,1202.81,1386586.0,283077.7974,111.5778,9.0643,3.7
2015-05-31,1203.03,1138188.0,283130.7745,111.5987,9.066,3.7
2015-06-30,1192.41,745183.0,280630.2689,110.6131,8.9859,3.7
2015-07-31,1248.5,1530280.0,293832.1472,115.8167,9.4086,3.7
