HBLENGIN IN Equity,price,volume,mc,pe,bm,div
2023-05-31,107.25,58338256.0,29729.158,30.1351,3.1246,0.4
2023-06-30,155.0,199397899.0,42965.2166,43.552,4.5158,0.4
2023-07-31,191.75,91525907.0,53152.1309,53.878,5.5865,0.4
2023-08-31,268.15,132264343.0,74329.8248,75.3449,7.8123,0.4
2023-09-30,266.9,37420815.0,73983.3311,74.9936,7.7759,0.45
2023-10-31,295.25,45885813.0,81841.8078,82.9594,8.6018,0.45
2023-11-30,359.85,38910164.0,99748.6013,101.1108,10.4839,0.45
2023-12-31,436.4,56013595.0,120967.8744,122.6198,12.7141,0.45
2024-01-31,537.25,41643201.0,148922.9847,150.9567,15.6523,0.45
2024-02-29,520.9,39628594.0,144390.8474,146.3627,15.1759,0.45
2024-03-31,454.0,35429307.0,125846.5055,44.8034,10.3107,0.45
2024-04-30,512.0,28393533.0,141923.8124,50.5271,11.6279,0.45
2024-05-31,496.45,33568192.0,137613.4309,48.9926,11.2748,0.45
2024-06-30,500.1,31143392.0,138625.1925,49.3528,11.3577,0.45
2024-07-31,618.6,90961539.0,171472.7936,61.047,14.0489,0.45
2024-08-31,624.8,62804228.0,173191.4023,61.6589,14.1897,0.45
2024-09-30,603.95,27764813.0,167411.8876,59.6013,13.7162,0.5
2024-10-31,561.8,29698605.0,155728.1207,55.4417,12.7589,0.5
2024-11-30,623.65,28475696.0,172872.6281,61.5454,14.1636,0.5
2024-12-31,621.85,85129682.0,172373.6772,61.3678,14.1227,0.5
2025-01-31,596.85,37313792.0,165443.8035,58.9006,13.555,0.5
2025-02-28,433.1,60567387.0,120053.1311,42.7408,9.8361,0.5
2025-03-31,472.5,54481325.0,130974.612,47.2969,8.8332,0.5
2025-04-30,481.95,74671988.0,133594.1042,48.2428,9.0099,0.5
2025-05-31,600.3,58462735.0,166400.1261,60.0896,11.2224,0.5
2025-06-30,592.9,27332276.0,164348.8835,59.3489,11.0841,0.5
2025-07-31,587.2,46582825.0,162768.8723,58.7783,10.9775,0.5
2025-08-31,807.1,127600499.0,223724.0409,80.7901,15.0885,0.5
2025-09-30,813.6,36156428.0,225525.8081,81.4408,15.21,1.0
2025-10-31,1004.2,40710869.0,278359.1648,100.5197,18.7732,1.0
2025-11-30,885.7,106278343.0,245511.5637,88.6579,16.5579,1.0
2025-12-31,926.6,53047675.0,256848.837,92.752,17.3225,1.0
2026-01-31,783.6,55457155.0,217209.9597,78.4378,14.6491,1.0
2026-02-28,684.75,35112454.0,189809.2393,68.543,12.8012,3.0
2026-03-31,665.9,4802659.0,184584.1213,66.6561,12.4488,3.0
