CRIN IN Equity,price,volume,mc,pe,bm,div
2024-01-31,1049.9,8276212.0,309093.7611,15.3248,3.9036,12.0
2024-02-29,1076.25,8189170.0,316851.6044,15.7094,4.0015,12.0
2024-03-31,1075.05,10075639.0,316540.9138,19.2627,3.3603,12.0
2024-04-30,1207.85,10196062.0,355642.9401,21.6422,3.7754,6.0
2024-05-31,1307.3,7700377.0,384925.2934,23.4241,4.0863,6.0
2024-06-30,1600.85,15600056.0,471451.2519,28.6839,5.0039,6.0
2024-07-31,1662.0,9811864.0,489459.9623,29.7796,5.195,6.0
2024-08-31,1758.25,11482540.0,517805.643,31.5042,5.4959,6.0
2024-09-30,1674.65,8253853.0,493237.2083,30.0063,5.2345,6.0
2024-10-31,1668.65,7289409.0,491470.0192,29.8988,5.2158,6.0
2024-11-30,1789.0,7193905.0,527013.2609,32.0552,5.592,6.0
2024-12-31,1879.95,12289552.0,553874.6646,33.6848,5.8763,6.0
2025-01-31,1809.55,8966388.0,533133.2745,32.4234,5.6562,6.0
2025-02-28,1666.95,12346220.0,491120.1746,29.8683,5.2105,12.0
2025-03-31,1982.1,12921474.0,583998.6875,33.9484,5.2664,12.0
2025-04-30,2214.2,13891403.0,652383.7818,37.9236,5.8831,12.0
2025-05-31,2289.4,34660354.0,674540.4345,39.2116,6.0829,12.0
2025-06-30,2505.2,13376315.0,738628.0298,42.9077,6.6562,12.0
2025-07-31,2691.4,15797082.0,793526.8559,46.0969,7.151,15.0
2025-08-31,2309.1,7641476.0,680810.308,39.549,6.1352,15.0
2025-09-30,2248.4,8825956.0,663100.6215,38.5094,5.9739,15.0
2025-10-31,2124.6,7673143.0,626589.3882,36.389,5.645,15.0
2025-11-30,2382.1,6888960.0,702531.5737,40.7994,6.3292,15.0
2025-12-31,2266.4,8850916.0,668577.595,38.8177,6.0218,15.0
2026-01-31,2282.6,5590009.0,673356.5206,39.0952,6.0648,15.0
2026-02-28,2220.0,5144763.0,654889.808,38.023,5.8985,21.0
2026-03-31,2056.4,1507465.0,606628.5303,35.2209,5.4638,21.0
