SF IN Equity,price,volume,mc,pe,bm,div
2013-04-30,39.7,621925.0,8342.0976,8.9426,1.1816,1.4
2013-05-31,33.7,1436270.0,7081.3272,7.5911,1.003,1.4
2013-06-30,32.6,1580976.0,6850.1849,7.3433,0.9703,1.4
2013-07-31,33.1,560683.0,6955.2491,7.4559,0.9852,1.4
2013-08-31,33.65,623709.0,7070.8197,7.5798,1.0015,1.4
2013-09-30,35.0,2530220.0,7354.493,7.8839,1.0417,1.4
2013-10-31,36.1,771091.0,7585.6342,8.1317,1.0744,1.4
2013-11-30,39.85,2312327.0,8373.6156,8.9764,1.1861,1.5
2013-12-31,47.65,2423502.0,10012.6169,10.7334,1.4182,1.5
2014-01-31,44.7,1486844.0,9392.7382,10.0689,1.3304,1.5
2014-02-28,48.95,2337388.0,10285.7838,11.0262,1.4569,1.5
2014-03-31,62.8,6184794.0,13196.0618,10.9212,1.6466,1.5
2014-04-30,74.6,7142235.0,15675.5766,12.9733,1.956,1.5
2014-05-31,85.45,7624565.0,17955.4694,14.8602,2.2405,1.5
2014-06-30,100.3,5664719.0,21075.8757,17.4426,2.6299,2.0
2014-07-31,104.95,4268249.0,22052.9727,18.2513,2.7518,2.0
2014-08-31,133.6,12184019.0,28073.1505,23.2337,3.503,2.0
2014-09-30,151.85,7168457.0,31907.9933,26.4074,3.9816,2.0
2014-10-31,153.65,7155315.0,32286.2244,26.7205,4.0288,2.0
2014-11-30,190.65,10493996.0,40060.9742,33.1549,4.9989,1.85
2014-12-31,188.5,3580300.0,39609.1982,32.781,4.9425,1.85
2015-01-31,205.9,3311149.0,43265.4318,35.807,5.3988,1.85
2015-02-28,183.4,4621679.0,38537.4763,31.8941,4.8088,1.85
2015-03-31,174.5,1721624.0,36667.4009,27.9242,4.1726,1.85
2015-04-30,177.95,2369507.0,37392.3438,28.4762,4.2551,1.85
2015-05-31,173.45,1270223.0,36446.7662,27.7561,4.1474,1.85
2015-06-30,151.35,1644392.0,31802.9291,24.2196,3.619,1.75
2015-07-31,174.95,3026562.0,36761.9587,27.9962,4.1833,1.75
2015-08-31,166.9,1854046.0,35070.4253,26.708,3.9908,1.75
2015-09-30,152.35,1566668.0,32013.0575,24.3796,3.6429,1.75
2015-10-31,167.5,2536900.0,35196.5023,26.804,4.0052,1.75
2015-11-30,161.15,1929464.0,33862.1872,25.7878,3.8533,1.75
2015-12-31,170.0,2090405.0,35721.8233,27.204,4.065,1.75
2016-01-31,155.7,935386.0,32716.9876,24.9157,3.723,1.75
2016-02-29,139.3,1525591.0,29270.8822,22.2913,3.3309,1.75
2016-03-31,170.8,2707177.0,35889.926,28.4739,3.7637,2.15
2016-04-30,163.35,1076850.0,34324.4696,27.232,3.5995,2.15
2016-05-31,158.35,2165850.0,33273.8277,26.3984,3.4893,2.15
2016-06-30,185.9,3701748.0,39062.8644,30.9913,4.0964,2.15
2016-07-31,197.25,3815618.0,41447.8214,32.8834,4.3465,2.15
2016-08-31,291.6,19616859.0,61273.4333,48.6124,6.4256,2.15
2016-09-30,291.75,8330785.0,61304.9526,48.6374,6.4289,2.15
2016-10-31,319.45,6555388.0,67125.5085,53.2553,7.0392,2.15
2016-11-30,297.15,10481068.0,62439.6458,49.5377,6.5479,3.0
2016-12-31,290.5,7141071.0,61042.2921,48.429,6.4013,3.0
2017-01-31,318.6,4353189.0,66946.8994,53.1136,7.0205,3.0
2017-02-28,335.7,2587334.0,70540.0945,55.9643,7.3973,3.0
2017-03-31,386.0,5928704.0,81109.5517,24.0349,6.5616,3.0
2017-04-30,400.85,4522379.0,84229.958,24.9595,6.814,3.0
2017-05-31,384.1,3071928.0,80710.3078,23.9166,6.5293,1.7
2017-06-30,429.65,4068751.0,90281.6551,26.7528,7.3036,1.7
2017-07-31,414.5,5283854.0,87098.2103,25.8095,7.046,1.7
2017-08-31,405.8,3247838.0,85270.0934,25.2677,6.8981,4.5
2017-09-30,439.85,5132070.0,92424.9645,27.3879,7.477,4.5
2017-10-31,516.8,6524956.0,108594.3427,32.1793,8.785,4.5
2017-11-30,499.1,4866127.0,104875.069,31.0772,8.4841,4.7
2017-12-31,585.25,5998882.0,122977.628,36.4415,9.9486,4.7
2018-01-31,525.1,3958556.0,110338.4066,32.6961,8.9261,4.7
2018-02-28,564.4,3420145.0,118596.452,35.1432,9.5942,4.7
2018-03-31,551.3,6356204.0,115843.7704,29.962,7.566,4.7
2018-04-30,597.1,4142039.0,125467.6497,32.4511,8.1946,4.7
2018-05-31,633.65,2812604.0,133147.8417,34.4375,8.6962,4.6
2018-06-30,625.3,2407245.0,131393.2698,33.9837,8.5816,4.6
2018-07-31,656.4,2101446.0,137928.2621,35.6739,9.0084,4.6
2018-08-31,660.45,1722498.0,138779.282,35.894,9.064,4.6
2018-09-30,580.8,1480850.0,122042.5573,31.5652,7.9709,4.6
2018-10-31,532.15,3309748.0,111819.8121,28.9212,7.3032,4.6
2018-11-30,508.65,1573375.0,106881.7954,27.644,6.9807,4.7
2018-12-31,534.9,2168271.0,112397.6651,29.0707,7.341,4.7
2019-01-31,527.9,2081127.0,110926.7665,28.6902,7.2449,4.7
2019-02-28,518.95,1652093.0,109046.1176,28.2038,7.1221,4.7
2019-03-31,566.45,1927652.0,119027.2152,26.0198,6.3652,4.7
2019-04-30,551.95,996692.0,115980.3538,25.3537,6.2023,4.7
2019-05-31,544.1,1254076.0,114330.8461,24.9931,6.114,5.1
2019-06-30,510.9,822055.0,107354.5842,23.4681,5.741,5.1
2019-07-31,438.8,2324194.0,92204.3288,20.1562,4.9308,5.1
2019-08-31,425.0,1704519.0,89304.5573,19.5223,4.7757,5.1
2019-09-30,474.5,1431539.0,99705.9116,21.796,5.332,5.1
2019-10-31,489.25,1049475.0,102805.305,22.4736,5.4977,5.1
2019-11-30,466.9,1888576.0,98108.936,21.4469,5.2466,4.45
2019-12-31,500.05,2149433.0,105074.6914,22.9697,5.6191,4.45
2020-01-31,512.8,1898434.0,107753.8281,23.5554,5.7623,4.45
2020-02-29,415.25,2138697.0,87255.8056,19.0744,4.6662,4.45
2020-03-31,292.5,5158247.0,61462.5482,18.9198,3.0794,4.15
2020-04-30,332.25,2979439.0,69815.1509,21.4909,3.4979,4.15
2020-05-31,306.1,2391803.0,64320.2941,19.7995,3.2226,4.15
2020-06-30,374.3,3433731.0,78651.0489,24.2109,3.9406,4.15
2020-07-31,415.95,1606397.0,87402.8955,26.9049,4.3791,4.15
2020-08-31,450.75,2447327.0,94715.3628,29.1559,4.7454,4.15
2020-09-30,400.0,2240328.0,84051.348,25.8732,4.2112,4.15
2020-10-31,426.95,1636177.0,89714.3067,27.6164,4.4949,4.15
2020-11-30,521.55,3402334.0,109592.4503,33.7354,5.4908,4.1
2020-12-31,520.2,4455387.0,109308.777,33.6481,5.4766,4.1
2021-01-31,559.3,2585262.0,117524.7962,36.1772,5.8883,4.1
2021-02-28,716.8,4290467.0,150620.0142,46.3648,7.5464,4.1
2021-03-31,800.45,4039069.0,168197.2522,46.8099,7.1662,4.1
2021-04-30,698.6,1575918.0,146795.6779,40.8538,6.2543,4.1
2021-05-31,790.6,4203591.0,166127.4877,46.2339,7.078,4.7
2021-06-30,808.65,2868119.0,169920.3048,47.2895,7.2396,4.7
2021-07-31,763.65,1520225.0,160464.5298,44.6579,6.8367,4.7
2021-08-31,796.35,3005172.0,167335.7274,46.5702,7.1295,4.7
2021-09-30,914.85,7278587.0,192235.9393,53.5,8.1904,4.7
2021-10-31,835.5,2039411.0,175562.2531,48.8596,7.48,4.7
2021-11-30,875.65,2476455.0,183998.9072,51.2076,7.8394,4.7
2021-12-31,912.8,1285349.0,191805.1761,53.3801,8.172,4.7
2022-01-31,848.55,975436.0,178304.4284,49.6228,7.5968,3.4
2022-02-28,852.1,888630.0,179050.3841,49.8304,7.6286,9.85
2022-03-31,899.8,2260445.0,189073.5073,41.3891,7.213,9.85
2022-04-30,805.5,1525410.0,169258.402,37.0515,6.4571,9.85
2022-05-31,780.1,1200431.0,163921.1414,35.8832,6.2535,9.85
2022-06-30,724.9,1693000.0,152322.0554,33.3441,5.811,9.85
2022-07-31,829.35,2006745.0,174269.9637,38.1486,6.6483,6.45
2022-08-31,835.15,3209306.0,175488.7082,38.4154,6.6948,6.45
2022-09-30,909.0,7403276.0,191006.6883,41.8123,7.2868,6.45
2022-10-31,936.45,2648849.0,196774.7121,43.075,7.5068,6.45
2022-11-30,915.55,3484932.0,192383.0292,42.1136,7.3393,12.02
2022-12-31,971.7,2600659.0,204181.7371,44.6964,7.7894,12.02
2023-01-31,985.15,4216405.0,207007.9637,45.3151,7.8972,12.02
2023-02-28,983.5,2396140.0,206661.2519,45.2392,7.884,5.57
2023-03-31,978.0,2895431.0,205505.5459,41.5463,6.8145,5.57
2023-04-30,1046.1,2558597.0,219815.2879,44.4393,7.289,5.57
2023-05-31,1128.35,2976137.0,237098.3463,47.9333,7.8621,8.63
2023-06-30,1216.95,2549941.0,255715.7199,51.6971,8.4795,8.63
2023-07-31,1267.0,2546291.0,266232.6448,53.8233,8.8282,8.63
2023-08-31,1272.6,2407153.0,267409.3637,54.0612,8.8672,8.63
2023-09-30,1260.2,1465262.0,264803.7719,53.5344,8.7808,8.63
2023-10-31,1254.6,2795255.0,263627.053,53.2965,8.7418,8.63
2023-11-30,1237.0,1898376.0,259928.7937,52.5489,8.6192,5.36
2023-12-31,1248.9,2837833.0,262429.3213,53.0544,8.7021,5.36
2024-01-31,1219.15,1715236.0,256178.0023,51.7906,8.4948,5.36
2024-02-29,1070.5,2751385.0,224942.4201,45.4758,7.459,5.36
2024-03-31,1093.6,2131672.0,229796.3854,44.0435,6.7178,5.36
2024-04-30,1116.95,5145727.0,234702.8829,44.9839,6.8612,5.36
2024-05-31,1191.35,5351352.0,250336.4336,47.9803,7.3182,5.36
2024-06-30,1353.05,4521902.0,284314.191,54.4925,8.3115,6.85
2024-07-31,1401.65,3328707.0,294526.4298,56.4499,8.61,6.85
2024-08-31,1352.75,1476357.0,284251.1525,54.4805,8.3097,6.85
2024-09-30,1372.2,1451572.0,288338.1493,55.2638,8.4291,6.85
2024-10-31,1345.1,1442968.0,282643.6705,54.1724,8.2627,6.85
2024-11-30,1152.15,1094260.0,242099.4015,46.4015,7.0774,7.17
2024-12-31,1059.2,3970615.0,222567.9695,42.6581,6.5064,7.17
2025-01-31,1044.2,3101261.0,219416.044,42.054,6.4143,7.17
2025-02-28,933.9,2530659.0,196238.8847,37.6118,5.7368,7.17
2025-03-31,913.15,5421299.0,191878.7211,35.5865,5.0351,7.17
2025-04-30,917.1,5917997.0,192708.7281,35.7405,5.0569,7.17
2025-05-31,1026.5,2788622.0,215696.7718,40.0039,5.6601,7.2
2025-06-30,1038.2,6480192.0,218155.2737,40.4599,5.7246,7.2
2025-07-31,985.0,2167927.0,206976.4444,38.3866,5.4313,7.2
2025-08-31,1019.85,2096205.0,214299.4181,39.7447,5.6234,7.2
2025-09-30,998.4,3450266.0,209792.1646,38.9088,5.5052,7.2
2025-10-31,949.4,1887819.0,199495.8745,36.9992,5.235,7.2
2025-11-30,934.75,5006226.0,196417.4939,36.4283,5.1542,7.95
2025-12-31,934.65,1302208.0,196396.481,36.4244,5.1536,7.95
2026-01-31,952.5,1058923.0,200147.2724,37.12,5.2521,7.95
2026-02-28,873.15,1470582.0,183473.5863,34.0277,4.8145,7.95
2026-03-31,853.95,6198321.0,179439.1241,33.2794,4.7087,7.95
