LT IN Equity,price,volume,mc,pe,bm,div
2015-10-31,940.5,64702347.0,1312931.399,27.4839,3.2056,10.8333
2015-11-30,916.4,69924797.0,1280047.756,26.7797,3.1235,10.8333
2015-12-31,850.3,63855728.0,1187717.759,24.848,2.8982,10.8333
2016-01-31,734.43,89690444.0,1025872.698,21.4621,2.5032,10.8333
2016-02-29,717.33,90904737.0,1002271.211,20.9624,2.445,10.8333
2016-03-31,811.13,73179141.0,1133330.223,26.7524,2.5652,10.8333
2016-04-30,836.4,47802375.0,1169079.989,27.5858,2.6451,10.8333
2016-05-31,982.37,85981619.0,1373105.285,32.4,3.1068,10.8333
2016-06-30,997.67,64038522.0,1394749.965,32.9046,3.1552,10.8333
2016-07-31,1039.23,50846984.0,1452860.664,34.2755,3.2866,10.8333
2016-08-31,1008.63,60153389.0,1410081.439,33.2663,3.1898,12.1667
2016-09-30,955.43,45875585.0,1335707.259,31.5117,3.0216,12.1667
2016-10-31,983.5,35444369.0,1374944.796,32.4373,3.1104,12.1667
2016-11-30,921.83,89803016.0,1288734.056,30.4035,2.9153,12.1667
2016-12-31,899.4,34641539.0,1258274.461,29.6636,2.8444,12.1667
2017-01-31,964.17,42115464.0,1348884.026,31.7997,3.0492,12.1667
2017-02-28,979.47,35085708.0,1370713.325,32.3043,3.0976,12.1667
2017-03-31,1049.93,53799165.0,1469327.87,24.304,2.926,12.1667
2017-04-30,1166.53,52163103.0,1633038.181,27.0031,3.2509,12.1667
2017-05-31,1173.8,59033880.0,1643210.78,27.1713,3.2712,12.1667
2017-06-30,1125.07,85364001.0,1575233.692,26.0432,3.1354,12.1667
2017-07-31,1193.95,48335831.0,1671881.248,27.6377,3.3273,12.1667
2017-08-31,1136.3,37349956.0,1591440.027,26.3032,3.1667,14.0
2017-09-30,1142.05,51478645.0,1599493.165,26.4363,3.1827,14.0
2017-10-31,1222.3,42265005.0,1711886.953,28.294,3.4063,14.0
2017-11-30,1216.55,57261354.0,1704425.043,28.1609,3.3903,14.0
2017-12-31,1258.25,56466694.0,1762848.062,29.1262,3.5065,14.0
2018-01-31,1416.5,68764240.0,1984561.32,32.7894,3.9475,14.0
2018-02-28,1318.15,59251064.0,1846852.917,30.5127,3.6735,14.0
2018-03-31,1310.9,51143510.0,1836694.981,24.9126,3.346,14.0
2018-04-30,1400.9,36558444.0,1963066.045,26.623,3.5757,14.0
2018-05-31,1370.4,47202383.0,1920326.724,26.0433,3.4978,14.0
2018-06-30,1275.1,47162265.0,1786992.463,24.2322,3.2546,14.0
2018-07-31,1302.3,56414967.0,1825115.547,24.7491,3.324,14.0
2018-08-31,1369.55,61992188.0,1919718.741,26.0272,3.4957,16.0
2018-09-30,1272.1,40097082.0,1783121.617,24.1752,3.2469,16.0
2018-10-31,1297.5,67842216.0,1819027.823,24.6579,3.3118,16.0
2018-11-30,1432.5,48393191.0,2008290.834,27.2235,3.6563,16.0
2018-12-31,1437.55,37588008.0,2015370.672,27.3195,3.6692,16.0
2019-01-31,1314.3,70524285.0,1842580.553,24.9772,3.3546,16.0
2019-02-28,1292.95,67056746.0,1813171.673,24.5715,3.3002,16.0
2019-03-31,1385.3,71777802.0,1942678.927,23.3019,3.1154,16.0
2019-04-30,1348.55,50385410.0,1891283.822,22.6838,3.0327,16.0
2019-05-31,1557.55,81635297.0,2184517.829,26.1993,3.5027,16.0
2019-06-30,1553.2,50645307.0,2178416.803,26.1262,3.4929,16.0
2019-07-31,1387.3,77018190.0,1946140.461,23.3356,3.1199,18.0
2019-08-31,1328.25,65547139.0,1863519.301,22.3423,2.9871,18.0
2019-09-30,1474.25,70764954.0,2068373.147,24.7981,3.3154,18.0
2019-10-31,1473.05,51266484.0,2066689.546,24.778,3.3127,18.0
2019-11-30,1330.55,68161330.0,1867182.188,22.381,2.9922,18.0
2019-12-31,1298.2,78373655.0,1821786.69,21.8368,2.9195,18.0
2020-01-31,1369.3,73974365.0,1921562.56,23.0328,3.0794,18.0
2020-02-29,1187.55,74000955.0,1666701.62,19.9756,2.6706,18.0
2020-03-31,808.5,150707035.0,1134712.862,12.7564,1.7011,28.0
2020-04-30,897.55,113449833.0,1259826.381,14.1614,1.8885,28.0
2020-05-31,932.25,112009634.0,1308532.276,14.7089,1.9615,28.0
2020-06-30,943.65,147689358.0,1324628.201,14.8888,1.9855,28.0
2020-07-31,913.45,108293019.0,1282274.53,14.4123,1.9219,10.0
2020-08-31,944.95,114522611.0,1326493.314,14.9093,1.9882,18.0
2020-09-30,901.6,102531441.0,1265639.953,14.2253,1.897,18.0
2020-10-31,929.5,133191373.0,1305050.405,14.6655,1.9557,18.0
2020-11-30,1122.4,140838753.0,1576137.763,17.7091,2.3616,36.0
2020-12-31,1287.6,140273361.0,1808120.976,20.3156,2.7092,36.0
2021-01-31,1334.7,85160938.0,1874261.468,21.0587,2.8083,36.0
2021-02-28,1442.5,95411245.0,2025897.713,22.7595,3.0351,36.0
2021-03-31,1418.9,79151723.0,1992753.043,59.5676,2.6268,26.0
2021-04-30,1340.45,50663200.0,1882736.116,56.2741,2.4816,26.0
2021-05-31,1467.7,68583420.0,2061538.587,61.6163,2.7172,26.0
2021-06-30,1500.55,59727211.0,2107679.857,62.9954,2.778,26.0
2021-07-31,1601.45,57039905.0,2248989.12,67.2313,2.9648,44.0
2021-08-31,1672.2,48067674.0,2348346.565,70.2015,3.0957,36.0
2021-09-30,1702.95,48365270.0,2391530.19,71.4924,3.1527,36.0
2021-10-31,1766.65,54856331.0,2480986.999,74.1667,3.2706,36.0
2021-11-30,1764.75,61782173.0,2479190.096,74.0869,3.2671,18.0
2021-12-31,1895.9,49733213.0,2663434.766,79.5928,3.5099,18.0
2022-01-31,1909.2,45079520.0,2682187.106,80.1511,3.5345,18.0
2022-02-28,1816.75,47390767.0,2552306.424,76.2699,3.3634,18.0
2022-03-31,1767.65,56519769.0,2483599.729,28.6445,3.0138,18.0
2022-04-30,1694.35,44108671.0,2380611.095,27.4567,2.8888,18.0
2022-05-31,1654.5,50253757.0,2324812.768,26.8109,2.8209,18.0
2022-06-30,1558.25,48171872.0,2189567.541,25.2512,2.6568,18.0
2022-07-31,1808.05,46742593.0,2540655.947,29.2991,3.0827,22.0
2022-08-31,1922.5,40263774.0,2701480.08,31.1538,3.2778,22.0
2022-09-30,1847.7,43954455.0,2596371.778,29.9417,3.1503,22.0
2022-10-31,2023.1,37483835.0,2842842.315,32.784,3.4493,22.0
2022-11-30,2074.85,37995059.0,2915919.759,33.6226,3.5376,22.0
2022-12-31,2085.8,42809959.0,2931308.496,33.8,3.5562,22.0
2023-01-31,2124.4,45894565.0,2985555.551,34.4255,3.622,22.0
2023-02-28,2109.15,47115677.0,2964276.339,34.1784,3.596,22.0
2023-03-31,2164.2,47952118.0,3041645.617,29.0458,3.4052,22.0
2023-04-30,2364.4,34563601.0,3323122.09,31.7327,3.7202,22.0
2023-05-31,2205.65,53855667.0,3100201.543,29.6021,3.4704,22.0
2023-06-30,2475.55,40824268.0,3479565.629,33.2244,3.8951,22.0
2023-07-31,2681.35,38379911.0,3768832.501,35.9864,4.2189,22.0
2023-08-31,2702.7,34080989.0,3799046.787,36.273,4.2525,30.0
2023-09-30,3023.55,48957884.0,4250049.178,40.5791,4.7573,30.0
2023-10-31,2929.05,42311797.0,4117215.375,39.3108,4.6087,30.0
2023-11-30,3109.2,31528912.0,4370908.121,41.7286,4.8921,30.0
2023-12-31,3526.0,41616724.0,4956844.859,47.3225,5.5479,30.0
2024-01-31,3479.75,49278561.0,4783084.499,46.7018,5.4751,30.0
2024-02-29,3477.55,61813219.0,4780343.367,46.6723,5.4717,30.0
2024-03-31,3763.9,48468405.0,5174115.215,40.0585,5.9914,30.0
2024-04-30,3594.3,44282833.0,4940971.417,38.2535,5.7214,30.0
2024-05-31,3669.3,79567838.0,5044385.535,39.0517,5.8408,30.0
2024-06-30,3548.45,85332441.0,4878579.755,37.7655,5.6484,34.0
2024-07-31,3815.0,68047517.0,5245045.517,40.6024,6.0727,34.0
2024-08-31,3704.65,43224023.0,5093874.856,39.4279,5.8971,28.0
2024-09-30,3675.55,50028317.0,5053862.505,39.1182,5.8508,28.0
2024-10-31,3622.3,58687401.0,4980644.026,38.5515,5.766,28.0
2024-11-30,3724.8,34781565.0,5122086.589,39.6424,5.9291,28.0
2024-12-31,3607.65,40037083.0,4960990.035,38.3956,5.7427,28.0
2025-01-31,3567.4,45621500.0,4905641.027,37.9672,5.6786,28.0
2025-02-28,3163.85,51818523.0,4350847.471,33.6723,5.0362,28.0
2025-03-31,3492.3,40657661.0,4802523.705,31.934,4.9179,28.0
2025-04-30,3341.0,47731918.0,4594517.023,30.5505,4.7048,28.0
2025-05-31,3675.1,49282648.0,5054295.42,33.6055,5.1753,28.0
2025-06-30,3669.8,39125127.0,5047294.022,33.5571,5.1678,34.0
2025-07-31,3636.5,42926506.0,5001494.553,33.2526,5.1209,34.0
2025-08-31,3601.0,29151191.0,4953218.06,32.9279,5.071,34.0
2025-09-30,3659.0,40324682.0,5033159.415,33.4583,5.1526,34.0
2025-10-31,4030.9,44268058.0,5544728.693,36.859,5.6763,34.0
2025-11-30,4069.6,32393338.0,5598063.917,37.2129,5.7308,34.0
2025-12-31,4083.5,29556018.0,5617184.491,37.34,5.7504,34.0
2026-01-31,3932.3,43656576.0,5409196.663,35.9574,5.5375,34.0
2026-02-28,4278.3,52893782.0,5885278.805,39.1213,6.0247,34.0
2026-03-31,4024.2,19997023.0,5535735.848,36.7977,5.6669,34.0
