KMB IN Equity,price,volume,mc,pe,bm,div
2013-10-31,75.25,200814360.0,578385.7746,23.1025,3.2321,0.07
2013-11-30,75.68,119354690.0,581922.7541,23.2361,3.2508,0.07
2013-12-31,72.83,123549460.0,560109.4585,22.4077,3.035,0.07
2014-01-31,65.71,170258930.0,505663.338,20.2169,2.7383,0.07
2014-02-28,68.45,143172280.0,526926.2116,21.0615,2.8527,0.07
2014-03-31,78.1,190621380.0,601579.7837,24.2637,3.1526,0.07
2014-04-30,80.26,167881570.0,618283.2333,24.9332,3.2395,0.07
2014-05-31,86.87,454880190.0,669164.8774,26.9851,3.5061,0.07
2014-06-30,88.35,180627610.0,680746.2619,26.8067,3.4407,0.07
2014-07-31,95.37,437296870.0,735117.7111,28.9351,3.7139,0.08
2014-08-31,103.76,221364360.0,799749.8449,31.4791,4.0404,0.08
2014-09-30,101.31,166491460.0,780999.5568,29.2128,3.8007,0.08
2014-10-31,111.83,204852610.0,862544.9106,32.2448,4.1952,0.08
2014-11-30,120.25,285577990.0,927581.1531,34.6742,4.5113,0.08
2014-12-31,126.39,243149400.0,975389.0595,34.8374,4.5794,0.08
2015-01-31,132.22,336071350.0,1020380.848,36.4443,4.7907,0.08
2015-02-28,139.71,265115510.0,1078630.258,38.5074,5.0619,0.08
2015-03-31,131.32,212564080.0,1014151.061,33.2637,4.5779,0.08
2015-04-30,133.29,220584290.0,1215003.026,33.7614,4.6464,0.08
2015-05-31,139.93,218947390.0,1276384.568,35.4433,4.8779,0.08
2015-06-30,138.58,169021320.0,1265016.388,38.4091,4.1852,0.09
2015-07-31,139.08,222528660.0,1269580.541,38.5477,4.2003,0.09
2015-08-31,130.34,132127235.0,1190711.906,36.1253,3.9363,0.09
2015-09-30,129.62,147829120.0,1184800.059,34.4642,3.786,0.09
2015-10-31,137.53,122812920.0,1259153.884,36.5674,4.017,0.09
2015-11-30,138.47,77503440.0,1267903.8,36.8173,4.0445,0.09
2015-12-31,144.01,94592700.0,1319318.381,37.2697,4.1426,0.09
2016-01-31,136.72,113511960.0,1253005.338,35.383,,0.09
2016-02-29,126.08,105974255.0,1155684.032,32.6294,,0.09
2016-03-31,136.13,347688240.0,1248225.191,35.506,3.7423,0.09
2016-04-30,143.43,169816770.0,1315527.196,37.41,3.9429,0.09
2016-05-31,149.31,201328125.0,1369621.523,38.9437,4.1046,0.09
2016-06-30,152.67,173524635.0,1400847.607,34.4472,4.0681,0.09
2016-07-31,152.7,189332500.0,1401122.877,34.454,4.0689,0.1
2016-08-31,161.38,174835315.0,1480767.583,36.4125,4.3002,0.1
2016-09-30,155.4,460323415.0,1425897.152,33.362,3.9997,0.1
2016-10-31,163.93,148600355.0,1504165.509,35.1932,4.2192,0.1
2016-11-30,151.09,229659640.0,1386350.069,32.4367,3.8887,0.1
2016-12-31,143.94,144451490.0,1323716.835,28.765,3.5731,0.1
2017-01-31,154.83,256821720.0,1423864.649,30.9412,3.8434,0.1
2017-02-28,160.42,220154760.0,1475756.884,32.0584,3.9822,0.1
2017-03-31,174.44,465125210.0,1605452.961,32.4358,4.1713,0.1
2017-04-30,180.39,184328790.0,1660397.795,33.5422,4.3135,0.1
2017-05-31,193.21,332664575.0,1838420.509,35.926,4.6201,0.1
2017-06-30,191.15,159064110.0,1819001.32,33.6521,3.8557,0.1
2017-07-31,204.33,265810395.0,1944781.363,35.9725,4.1216,0.12
2017-08-31,195.2,181272530.0,1857883.434,34.3651,3.9374,0.12
2017-09-30,200.45,208592705.0,1908074.178,34.066,4.0622,0.12
2017-10-31,205.01,217502350.0,1951480.605,34.8409,4.1546,0.12
2017-11-30,200.06,213509350.0,1904805.254,33.9997,4.0543,0.12
2017-12-31,202.04,262333480.0,1923840.664,32.5232,3.9574,0.12
2018-01-31,221.79,249776055.0,2112520.943,35.7025,4.3442,0.12
2018-02-28,218.11,216818250.0,2077798.808,35.1101,4.2722,0.12
2018-03-31,209.56,245676310.0,1996738.505,31.9248,3.9549,0.12
2018-04-30,242.22,178288215.0,2308083.977,36.9003,4.5712,0.12
2018-05-31,266.92,287562475.0,2543558.031,40.6632,5.0374,0.12
2018-06-30,268.59,187760060.0,2559723.306,39.7911,4.9111,0.12
2018-07-31,261.37,237529935.0,2491028.451,38.7215,4.779,0.14
2018-08-31,257.45,232820340.0,2454245.872,38.1407,4.7074,0.14
2018-09-30,228.32,247374635.0,2176810.651,32.2942,4.0055,0.14
2018-10-31,223.83,429612260.0,2134353.977,31.6591,3.9267,0.14
2018-11-30,246.79,246722885.0,2353371.777,34.9066,4.3295,0.14
2018-12-31,251.3,605279785.0,2396570.52,34.4341,4.2595,0.14
2019-01-31,251.15,351789500.0,2395585.077,34.4135,4.2569,0.14
2019-02-28,242.62,698463485.0,2314636.047,33.2447,4.1124,0.14
2019-03-31,266.9,317283555.0,2546271.374,35.3229,4.3705,0.14
2019-04-30,277.31,251644840.0,2646696.021,36.7006,4.541,0.14
2019-05-31,304.43,354330820.0,2905658.657,40.2898,4.9851,0.14
2019-06-30,295.42,204831005.0,2819789.938,37.2629,4.6825,0.14
2019-07-31,303.91,321350460.0,2901550.08,38.3338,4.817,0.16
2019-08-31,286.29,284542825.0,2733463.262,36.1113,4.5377,0.16
2019-09-30,328.89,306688075.0,3140593.108,38.172,5.0202,0.16
2019-10-31,314.9,273541710.0,3007339.558,36.5483,4.8067,0.16
2019-11-30,323.04,222140045.0,3085735.806,37.493,4.9309,0.16
2019-12-31,336.87,275225325.0,3218270.122,36.8567,4.9506,0.16
2020-01-31,338.35,430552080.0,3232993.389,37.0186,4.9724,0.16
2020-02-29,324.07,254278360.0,3098550.141,35.4562,4.7625,0.16
2020-03-31,259.21,739454815.0,2478652.184,28.975,3.6932,0.16
2020-04-30,271.44,731846860.0,2596375.632,30.3421,3.8675,0.16
2020-05-31,244.8,654284810.0,2342496.557,27.3642,3.4879,0.16
2020-06-30,272.09,1097253520.0,2692064.415,30.7933,3.5217,0.16
2020-07-31,273.15,518505585.0,2702552.078,30.9133,3.5354,0.16
2020-08-31,280.27,470461650.0,2773274.147,31.7191,3.6275,0.16
2020-09-30,253.64,426844810.0,2510031.343,27.2966,3.1615,0.0
2020-10-31,309.48,630531505.0,3062915.097,33.3061,3.8575,0.0
2020-11-30,381.42,1056944935.0,3775648.271,41.0482,4.7542,0.0
2020-12-31,399.12,476823155.0,3951724.146,42.1814,4.813,0.0
2021-01-31,342.59,480089360.0,3392461.008,36.2069,4.1313,0.0
2021-02-28,356.07,523448845.0,3526854.226,37.6316,4.2938,0.0
2021-03-31,350.6,413893145.0,3473782.803,34.7335,4.095,0.0
2021-04-30,349.76,325988260.0,3465834.346,34.6503,4.0852,0.0
2021-05-31,361.54,339997785.0,3583562.943,35.8173,4.2228,0.0
2021-06-30,341.17,428661580.0,3381656.717,34.1102,3.8974,0.0
2021-07-31,330.96,297094415.0,3280931.882,33.0894,3.7808,0.0
2021-08-31,350.74,398374675.0,3477443.198,35.067,4.0067,0.18
2021-09-30,401.1,548451775.0,3976954.181,39.9582,4.4364,0.18
2021-10-31,406.23,381409800.0,4027948.588,40.4692,4.4932,0.18
2021-11-30,392.38,225524870.0,3890955.83,39.0895,4.34,0.18
2021-12-31,359.22,406715325.0,3562722.782,33.1323,3.8257,0.18
2022-01-31,371.45,268465935.0,3684598.217,34.2603,3.9559,0.18
2022-02-28,368.55,291532330.0,3656165.937,33.9928,3.925,0.18
2022-03-31,350.77,681885255.0,3480293.868,28.87,3.5823,0.18
2022-04-30,358.15,258478505.0,3554033.047,29.4774,3.6577,0.18
2022-05-31,369.37,436811970.0,3666268.844,30.4008,3.7723,0.18
2022-06-30,332.22,271517815.0,3297527.778,25.3526,3.2954,0.18
2022-07-31,362.07,311191280.0,3594330.992,27.6305,3.5915,0.18
2022-08-31,383.09,277252895.0,3803397.233,29.2346,3.8,0.22
2022-09-30,363.84,308215090.0,3612279.228,26.5112,3.4855,0.22
2022-10-31,380.39,188942625.0,3776775.013,27.7171,3.644,0.22
2022-11-30,389.41,257634790.0,3866474.924,28.3744,3.7304,0.22
2022-12-31,365.45,329716890.0,3629074.911,25.5274,3.3705,0.22
2023-01-31,346.2,380201555.0,3437914.172,24.1827,3.193,0.22
2023-02-28,345.85,278759860.0,3435055.107,24.1583,3.1898,0.22
2023-03-31,346.57,547968285.0,3442314.907,22.6083,3.065,0.22
2023-04-30,387.61,314853570.0,3850045.984,25.2855,3.4279,0.22
2023-05-31,402.87,885730720.0,4001738.181,26.2809,3.5629,0.22
2023-06-30,369.31,677271420.0,3668384.163,22.0729,3.1498,0.22
2023-07-31,371.31,500208140.0,3689358.574,22.1925,3.1668,0.22
2023-08-31,351.75,447048255.0,3495373.098,21.0234,3.0,0.3
2023-09-30,347.14,405230850.0,3449618.848,19.738,2.8553,0.3
2023-10-31,347.88,367540935.0,3457049.539,19.7801,2.8614,0.3
2023-11-30,351.09,296874895.0,3489012.595,19.9626,2.8878,0.3
2023-12-31,381.62,383249195.0,3792409.315,21.3729,3.0335,0.3
2024-01-31,365.05,630696865.0,3627962.357,20.4448,2.9018,0.3
2024-02-29,337.89,505860215.0,3358449.13,18.9237,2.6859,0.3
2024-03-31,357.1,527977420.0,3549386.44,19.5222,2.7309,0.3
2024-04-30,324.79,1069065590.0,3228284.142,17.7558,2.4838,0.3
