MAXF IN Equity,price,volume,mc,pe,bm,div
2015-06-30,384.72,6737366.0,128813.4107,36.6396,3.105,5.8
2015-07-31,436.99,6112767.0,146314.6533,41.6176,3.5269,5.8
2015-08-31,398.77,5131685.0,133518.6191,37.9779,3.2184,5.8
2015-09-30,407.49,7098088.0,136636.9022,38.8082,3.2888,5.0
2015-10-31,421.38,5319035.0,141295.5852,40.1314,3.4009,5.0
2015-11-30,420.15,5066544.0,140881.7767,40.0139,3.391,2.8
2015-12-31,404.38,6190057.0,135595.7066,38.5125,3.2637,2.8
2016-01-31,365.7,11504564.0,97632.1124,34.8286,2.9515,2.8
2016-02-29,336.4,30160619.0,89813.4206,32.0381,2.7151,2.8
2016-03-31,344.05,2598244.0,91855.8482,36.3305,4.6729,2.8
2016-04-30,365.2,2918110.0,97516.7588,38.5639,4.9602,2.8
2016-05-31,356.05,3636868.0,95073.4993,37.5977,4.8359,2.8
2016-06-30,532.75,41473840.0,142256.4437,56.2566,7.2358,2.8
2016-07-31,579.95,28551506.0,154859.924,61.2408,7.8769,2.8
2016-08-31,579.8,19039281.0,154819.8706,61.2249,7.8749,2.8
2016-09-30,555.6,12045990.0,148357.9167,58.6695,7.5462,3.6
2016-10-31,563.15,9186331.0,150373.9395,59.4667,7.6487,3.6
2016-11-30,534.05,7094191.0,142603.5734,56.3939,7.2535,1.8
2016-12-31,548.75,4276929.0,146664.44,57.9461,7.4531,1.8
2017-01-31,564.65,5975558.0,150914.0338,59.6251,7.6691,1.8
2017-02-28,563.6,32515382.0,150633.4002,59.5143,7.6548,1.8
2017-03-31,576.95,13707235.0,154201.4554,38.9831,6.6049,1.8
2017-04-30,655.9,45789174.0,175329.4481,44.3176,7.5087,1.8
2017-05-31,583.7,28081843.0,156029.5759,39.4392,6.6822,1.8
2017-06-30,631.1,28465108.0,168700.1291,42.6419,7.2248,1.8
2017-07-31,609.45,21660153.0,162912.8406,41.1791,6.977,1.8
2017-08-31,601.55,22086802.0,160801.0817,40.6453,6.8865,1.8
2017-09-30,590.9,37806262.0,158588.1252,39.9257,6.7646,1.8
2017-10-31,587.0,11669814.0,157541.4275,39.6622,6.7199,0.0
2017-11-30,547.95,13095120.0,147061.0309,37.0236,6.2729,0.0
2017-12-31,592.5,14193984.0,159017.5396,40.0338,6.7829,0.0
2018-01-31,534.25,18321823.0,143384.1696,36.098,6.1161,0.0
2018-02-28,495.45,15307724.0,132970.8662,33.4764,5.6719,0.0
2018-03-31,453.45,11950814.0,121698.737,42.4181,6.7144,0.0
2018-04-30,515.7,16522322.0,138421.9956,48.2413,7.6361,0.0
2018-05-31,490.1,13125370.0,131550.5527,45.8466,7.2571,0.0
2018-06-30,432.55,14096615.0,116103.227,40.463,6.4049,0.0
2018-07-31,497.2,16632083.0,133456.3044,46.5108,7.3622,0.0
2018-08-31,448.05,12230523.0,120263.671,41.913,6.6344,0.0
2018-09-30,408.3,21131724.0,109594.1454,38.1946,6.0458,0.0
2018-10-31,377.2,23306327.0,101246.416,35.2853,5.5853,0.0
2018-11-30,447.3,16749714.0,120062.3592,41.8428,6.6233,0.0
2018-12-31,446.0,13436461.0,119713.4187,41.7212,6.6041,0.0
2019-01-31,398.15,13578863.0,107093.3801,37.2451,5.8955,0.0
2019-02-28,394.65,15287926.0,106151.9589,36.9177,5.8437,0.0
2019-03-31,435.2,13650406.0,117058.9954,44.5445,5.6938,0.0
2019-04-30,417.65,11912513.0,112514.3825,42.7482,5.4642,0.0
2019-05-31,450.1,11731410.0,121256.3715,46.0696,5.8887,0.0
2019-06-30,407.95,9955263.0,109901.2148,41.7554,5.3373,0.0
2019-07-31,417.2,13705204.0,112393.1531,42.7021,5.4583,0.0
2019-08-31,421.3,23860410.0,113497.6879,43.1218,5.5119,0.0
2019-09-30,426.8,19545394.0,114979.381,43.6847,5.5839,0.0
2019-10-31,406.15,13245667.0,109416.297,41.5711,5.3137,0.0
2019-11-30,504.9,46656721.0,136019.4223,51.6786,6.6057,0.0
2019-12-31,534.45,31872289.0,144039.3453,54.7032,6.9923,0.0
2020-01-31,506.4,68593525.0,136479.6042,51.8321,6.6253,0.0
2020-02-29,577.3,93474321.0,155587.8268,59.089,7.5529,0.0
2020-03-31,384.6,64875159.0,103653.3487,71.487,6.1831,0.0
2020-04-30,469.8,53212563.0,126615.557,87.3234,7.5528,0.0
2020-05-31,480.35,32577948.0,129490.113,89.2844,7.7225,0.0
2020-06-30,542.0,38252213.0,146109.3812,100.7435,8.7136,0.0
2020-07-31,558.4,30692851.0,150530.403,103.7918,8.9772,0.0
2020-08-31,589.25,47074232.0,158846.7765,109.526,9.4732,0.0
2020-09-30,612.2,43847540.0,165033.5113,113.7918,9.8422,0.0
2020-10-31,590.55,20521138.0,159197.2281,109.7677,9.4941,0.0
2020-11-30,648.65,28813504.0,174859.5072,120.5669,10.4282,0.0
2020-12-31,675.05,60373225.0,232914.2512,125.474,10.8526,0.0
2021-01-31,683.0,29113104.0,235696.6797,126.9517,10.9804,0.0
2021-02-28,866.1,49094553.0,298882.7149,160.9851,13.9241,0.0
2021-03-31,859.45,25561452.0,296587.8644,59.2316,8.872,0.0
2021-04-30,895.9,11134239.0,309166.406,61.7436,9.2483,0.0
2021-05-31,933.1,13276800.0,322003.7655,64.3074,9.6323,0.0
2021-06-30,1060.4,39947755.0,365951.2104,73.0806,10.9464,0.0
2021-07-31,1122.1,18101126.0,387244.3044,77.3329,11.5833,0.0
2021-08-31,1088.15,21254083.0,375527.9296,74.9931,11.2329,0.0
2021-09-30,1014.3,20111934.0,350041.7948,69.9035,10.4705,0.0
2021-10-31,973.6,19048781.0,335995.9493,67.0986,10.0504,0.0
2021-11-30,940.25,10964557.0,324494.1634,64.8001,9.7061,0.0
2021-12-31,980.35,8542466.0,338333.2657,67.5637,10.12,0.0
2022-01-31,952.15,16682254.0,328601.0292,65.6203,9.8289,0.0
2022-02-28,829.8,13649796.0,286376.237,57.1881,8.5659,0.0
2022-03-31,753.9,14682886.0,260182.0259,102.6876,6.6126,0.0
2022-04-30,757.6,11189476.0,261458.9505,103.1916,6.6451,0.0
2022-05-31,794.7,10589113.0,274262.7085,108.2449,6.9705,0.0
2022-06-30,782.35,10398266.0,270000.5411,106.5627,6.8622,0.0
2022-07-31,860.25,10986744.0,296884.9818,117.1734,7.5455,0.0
2022-08-31,824.3,9802334.0,284478.1057,112.2767,7.2301,0.0
2022-09-30,762.6,11828427.0,263184.5244,103.8726,6.689,0.0
2022-10-31,708.05,21169238.0,244358.5136,96.4425,6.2105,0.0
2022-11-30,705.6,30659082.0,243512.9824,96.1087,6.189,0.0
2022-12-31,677.5,25347980.0,233815.2574,92.2813,5.9425,0.0
2023-01-31,835.65,36460847.0,288395.1584,113.8227,7.3297,0.0
2023-02-28,692.45,21849699.0,238974.7232,94.3176,6.0737,0.0
2023-03-31,635.0,20771439.0,219147.8796,57.8851,6.2018,0.0
2023-04-30,639.75,13934726.0,220787.1747,58.3181,6.2481,0.0
2023-05-31,706.55,16488988.0,243840.8415,64.4075,6.9005,0.0
2023-06-30,810.85,28455054.0,279836.3121,73.9152,7.9192,0.0
2023-07-31,814.75,10929987.0,281182.2597,74.2707,7.9573,0.0
2023-08-31,933.7,55402085.0,322233.6617,85.1139,9.119,0.0
2023-09-30,909.75,15273044.0,313968.1629,82.9307,8.8851,0.0
2023-10-31,914.1,15761647.0,315469.4122,83.3273,8.9276,0.0
2023-11-30,1019.2,21228906.0,351740.9746,92.9079,9.9541,0.0
2023-12-31,954.3,15085404.0,329343.026,86.9918,9.3202,0.0
2024-01-31,890.3,20114862.0,307255.6806,81.1577,8.6951,0.0
2024-02-29,969.7,31496139.0,334657.7934,88.3956,9.4706,0.0
2024-03-31,1002.2,24758843.0,345874.0235,101.0282,8.9081,0.0
2024-04-30,1010.9,23216611.0,348876.522,101.9052,8.9854,0.0
2024-05-31,918.15,26362483.0,316867.127,92.5554,8.161,0.0
2024-06-30,971.7,20376451.0,335348.023,97.9536,8.637,0.0
2024-07-31,1112.0,19980570.0,383767.6254,112.0968,9.8841,0.0
2024-08-31,1074.85,21061968.0,370946.6116,108.3518,9.5539,0.0
2024-09-30,1191.0,44852552.0,411031.6923,120.0605,10.5863,0.0
2024-10-31,1283.0,27772956.0,442782.2512,129.3347,11.404,0.0
2024-11-30,1133.95,15723724.0,391342.8946,114.3095,10.0792,0.0
2024-12-31,1113.9,13207421.0,384423.3434,112.2883,9.901,0.0
2025-01-31,1115.75,15538336.0,385061.8057,112.4748,9.9174,0.0
2025-02-28,998.1,18338264.0,344459.0529,100.6149,8.8717,0.0
2025-03-31,1147.7,21662581.0,396088.2227,119.4277,7.4771,0.0
2025-04-30,1305.0,23029040.0,450374.7762,135.796,8.5018,0.0
2025-05-31,1502.7,31581050.0,518603.9664,156.3684,9.7898,0.0
2025-06-30,1647.1,25926299.0,568438.5393,171.3944,10.7306,0.0
2025-07-31,1501.4,17025691.0,518155.3172,156.2331,9.7813,0.0
2025-08-31,1602.2,10732564.0,552942.8861,166.7222,10.438,0.0
2025-09-30,1575.9,11984507.0,543866.3676,163.9854,10.2667,0.0
2025-10-31,1546.5,13339088.0,533719.9934,160.9261,10.0752,0.0
2025-11-30,1702.1,16606401.0,587419.8517,177.1176,11.0889,0.0
2025-12-31,1671.8,12779954.0,576962.8742,173.9646,10.8915,0.0
2026-01-31,1613.6,13481784.0,556877.1945,167.9084,10.5123,0.0
2026-02-28,1813.4,18977648.0,625831.1257,188.6993,11.814,0.0
2026-03-31,1747.3,1964482.0,603019.0562,181.821,11.3833,0.0
