IRB IN Equity,price,volume,mc,pe,bm,div
2023-10-31,33.5,1044593336.0,202306.5,28.1513,1.5121,0.075
2023-11-30,37.15,724333644.0,224348.85,31.2185,1.6769,0.175
2023-12-31,41.55,700872386.0,250920.45,34.916,1.8755,0.175
2024-01-31,66.1,1395097816.0,399177.9,55.5462,2.9836,0.175
2024-02-29,62.85,555387034.0,379551.15,52.8151,2.8369,0.2
2024-03-31,58.55,368600281.0,353583.45,58.55,2.5725,0.2
2024-04-30,68.0,625918471.0,410652.0,68.0,2.9878,0.2
2024-05-31,66.1,1472584046.0,399177.9,66.1,2.9043,0.3
2024-06-30,64.87,2630486525.0,391749.93,64.87,2.8502,0.3
2024-07-31,66.38,1451295605.0,400868.82,66.38,2.9166,0.3
2024-08-31,63.35,508486452.0,382570.65,63.35,2.7834,0.4
2024-09-30,61.06,543444488.0,368741.34,61.06,2.6828,0.4
2024-10-31,51.85,369405092.0,313122.15,51.85,2.2782,0.4
2024-11-30,53.39,342337046.0,322422.21,53.39,2.3458,0.4
2024-12-31,57.24,468926600.0,345672.36,57.24,2.515,0.4
2025-01-31,57.32,443491969.0,346155.48,57.32,2.5185,0.4
2025-02-28,43.26,416459635.0,261247.14,43.26,1.9007,0.4
2025-03-31,45.16,338466733.0,272721.24,4.2088,1.3755,0.4
2025-04-30,45.6,321487965.0,275378.4,4.2498,1.3889,0.4
2025-05-31,51.27,358678998.0,309619.53,4.7782,1.5616,0.4
2025-06-30,49.61,377721457.0,299594.79,4.6235,1.5111,0.4
2025-07-31,45.07,213023838.0,272177.73,4.2004,1.3728,0.4
2025-08-31,42.9,231345139.0,259073.1,3.9981,1.3067,0.36
2025-09-30,41.19,189821589.0,248746.41,3.8388,1.2546,0.36
2025-10-31,44.79,187048201.0,270486.81,4.1743,1.3643,0.27
2025-11-30,42.91,306185387.0,259133.49,3.9991,1.307,0.34
2025-12-31,42.05,156279540.0,253939.95,3.9189,1.2808,0.34
2026-01-31,41.55,169847266.0,250920.45,3.8723,1.2656,0.24
2026-02-28,41.71,174542139.0,251886.69,3.8872,1.2704,0.31
2026-03-31,40.43,28298363.0,244156.7718,3.7679,1.2315,0.31
