NTCPH IN Equity,price,volume,mc,pe,bm,div
2023-12-31,811.35,11345445.0,145320.793,20.7083,3.0376,9.5
2024-01-31,865.8,14394812.0,155073.3254,22.098,3.2415,9.5
2024-02-29,995.05,35520982.0,178223.2761,25.3969,3.7254,9.5
2024-03-31,952.05,13911014.0,170521.5517,12.3099,2.9134,9.5
2024-04-30,1018.15,14169523.0,182360.7141,13.1646,3.1156,9.5
2024-05-31,997.65,16804819.0,178688.9618,12.8995,3.0529,9.5
2024-06-30,1166.85,25115194.0,208994.3518,15.0873,3.5707,9.5
2024-07-31,1361.35,23866654.0,243831.2215,17.6021,4.1658,9.5
2024-08-31,1537.55,28637539.0,275390.3806,19.8804,4.705,5.5
2024-09-30,1420.0,18404449.0,254336.0154,18.3605,4.3453,5.5
2024-10-31,1402.95,15343565.0,251282.1921,18.14,4.2931,5.5
2024-11-30,1375.5,13336132.0,246365.6262,17.7851,4.2091,5.75
2024-12-31,1387.3,14342275.0,248479.1227,17.9377,4.2453,5.75
2025-01-31,1173.85,11032156.0,210248.1209,15.1778,3.5921,5.75
2025-02-28,770.7,35566177.0,138039.9768,9.9651,2.3584,6.0
2025-03-31,798.75,15027347.0,143064.0087,7.5884,1.8807,6.0
2025-04-30,850.9,33158930.0,152404.5884,8.0838,2.0035,6.0
2025-05-31,883.4,16806077.0,158225.6592,8.3926,2.08,6.0
2025-06-30,926.65,20983952.0,165972.161,8.8034,2.1818,6.0
2025-07-31,953.4,39892103.0,170763.3501,9.0576,2.2448,6.0
2025-08-31,862.0,10487420.0,154392.7079,8.1892,2.0296,5.0
2025-09-30,795.55,11450369.0,142490.8571,7.558,1.8732,5.0
2025-10-31,819.9,12247047.0,146852.1824,7.7893,1.9305,5.0
2025-11-30,877.25,48386199.0,157124.1335,8.3341,2.0655,5.0
2025-12-31,903.05,38407826.0,161745.1681,8.5792,2.1263,5.0
2026-01-31,835.9,13441601.0,149717.9403,7.9413,1.9682,5.0
2026-02-28,988.5,58919010.0,177050.1065,9.391,2.3275,5.0
2026-03-31,997.5,7456585.0,178662.0953,9.4765,2.3487,5.0
