IIB IN Equity,price,volume,mc,pe,bm,div
2023-05-31,1286.6,79893875.0,998289.2296,13.4007,1.8149,8.5
2023-06-30,1374.65,69733302.0,1066759.884,13.4322,1.8667,14.0
2023-07-31,1417.75,74370232.0,1100206.471,13.8533,1.9253,14.0
2023-08-31,1378.15,52978264.0,1070143.161,13.4664,1.8715,14.0
2023-09-30,1428.85,59204188.0,1110294.604,13.3028,1.9014,14.0
2023-10-31,1441.3,67453692.0,1119968.935,13.4187,1.9179,14.0
2023-11-30,1466.1,108738434.0,1140044.326,13.6496,1.9509,14.0
2023-12-31,1598.95,54758109.0,1243554.872,14.3172,2.0467,14.0
2024-01-31,1534.05,91560762.0,1193080.054,13.7361,1.9636,14.0
2024-02-29,1474.9,66493769.0,1147810.965,13.2065,1.8879,14.0
2024-03-31,1553.0,74287149.0,1208730.884,13.4424,1.9123,14.0
2024-04-30,1515.7,69609844.0,1179699.55,13.1195,1.8664,14.0
2024-05-31,1461.85,74291534.0,1138048.94,12.6534,1.8001,14.0
2024-06-30,1464.5,102054619.0,1140442.77,12.6206,1.7391,16.5
2024-07-31,1427.8,86099219.0,1111863.562,12.3044,1.6955,16.5
2024-08-31,1425.25,93786702.0,1110025.566,12.2824,1.6925,16.5
2024-09-30,1447.6,69422474.0,1127670.394,13.8169,1.6995,16.5
2024-10-31,1055.6,147679230.0,822305.1037,10.0754,1.2393,16.5
2024-11-30,995.85,88353857.0,775786.5621,9.5051,1.1692,16.5
2024-12-31,960.15,99712595.0,748006.4638,10.3042,1.1146,16.5
2025-01-31,991.2,100872706.0,772196.0183,10.6375,1.1506,16.5
2025-02-28,990.1,137421045.0,771340.8426,10.6257,1.1494,16.5
2025-03-31,649.85,457454127.0,506268.5486,19.6389,0.7808,16.5
2025-04-30,838.4,263065593.0,653159.2693,25.337,1.0074,16.5
2025-05-31,816.95,243900046.0,636448.5509,24.6887,0.9816,16.5
2025-06-30,872.1,141072286.0,679414.626,67.3436,1.037,16.5
2025-07-31,798.9,109604721.0,622387.7361,61.6911,0.95,16.5
2025-08-31,739.5,74571596.0,576111.8173,57.1042,0.8794,0.0
2025-09-30,735.55,99566741.0,573049.3312,55.861,0.8808,0.0
2025-10-31,794.8,90661130.0,619209.5825,,0.9518,0.0
2025-11-30,858.55,87985770.0,668875.6758,,1.0281,0.0
2025-12-31,864.2,67131223.0,673277.455,,1.0331,0.0
2026-01-31,896.1,107406243.0,698129.9785,,1.0712,0.0
2026-02-28,956.75,90563470.0,745381.051,,1.1437,0.0
2026-03-31,937.15,6294958.0,730111.1786,,1.1203,0.0
