VTEX IN Equity,price,volume,mc,pe,bm,div
2020-11-30,163.03,3715280.0,46886.4188,7.9745,0.7617,0.0
2020-12-31,217.02,11315765.0,62413.6086,10.6153,1.014,0.0
2021-01-31,209.43,8436505.0,60276.6347,10.2441,0.9785,0.0
2021-02-28,236.79,6401665.0,68151.1929,11.5824,1.1064,0.0
2021-03-31,259.54,5348990.0,74698.9341,17.7032,1.1347,0.0
2021-04-30,234.38,5943380.0,67538.3056,15.987,1.0247,0.0
2021-05-31,258.62,12735340.0,74523.2383,17.6405,1.1307,0.0
2021-06-30,273.48,12275030.0,78805.2557,18.6541,1.1957,0.0
2021-07-31,381.93,30476365.0,110055.9176,26.0514,1.6698,0.0
2021-08-31,368.42,17267710.0,106162.9125,25.1299,1.6107,0.0
2021-09-30,370.48,9640480.0,106756.5165,25.2704,1.6198,3.5
2021-10-31,389.21,20727650.0,112153.7027,26.548,1.7016,3.5
2021-11-30,406.39,14824700.0,117219.8631,27.7198,1.7768,10.3
2021-12-31,463.68,24522655.0,133744.6938,31.6276,2.0272,10.3
2022-01-31,480.78,23800405.0,138880.058,32.794,2.102,10.3
2022-02-28,510.22,13715455.0,147384.2156,34.8021,2.2307,10.3
2022-03-31,436.0,19916234.0,125944.7258,7.9883,1.6085,10.3
2022-04-30,436.25,12707507.0,126051.7328,7.9929,1.6094,10.3
2022-05-31,286.8,25380961.0,82869.0818,5.2547,1.058,10.3
2022-06-30,265.05,13791984.0,76584.5542,4.8562,0.9778,10.3
2022-07-31,302.65,23441138.0,87491.1667,5.5451,1.1165,10.3
2022-08-31,332.4,15729803.0,96091.4053,6.0901,1.2263,10.3
2022-09-30,337.4,14214427.0,97536.8235,6.1818,1.2447,6.8
2022-10-31,336.55,9377276.0,97299.1628,6.1662,1.2416,6.8
2022-11-30,348.35,5507689.0,100710.6325,6.3824,1.2851,6.8
2022-12-31,330.15,5828611.0,95448.8741,6.0489,1.218,6.8
2023-01-31,303.3,4929000.0,87692.2343,5.557,1.1189,0.0
2023-02-28,307.95,4461578.0,89036.675,5.6422,1.1361,0.0
2023-03-31,293.7,6392060.0,84916.6146,10.5043,0.9756,0.0
2023-04-30,317.7,3071283.0,91856.6169,11.3627,1.0554,0.0
2023-05-31,321.95,5001234.0,93085.4196,11.5147,1.0695,0.0
2023-06-30,366.45,7011988.0,105951.7068,13.1062,1.2173,0.0
2023-07-31,370.35,5049843.0,107079.314,13.2457,1.2303,0.0
2023-08-31,393.25,10418951.0,113705.3078,14.0647,1.3063,0.0
2023-09-30,373.15,5126677.0,107893.5425,13.3459,1.2396,3.5
2023-10-31,369.15,6485814.0,106748.8774,13.2028,1.2263,3.5
2023-11-30,405.45,12169291.0,117245.9227,14.5011,1.3468,3.5
2023-12-31,386.15,4637406.0,111664.849,13.8108,1.2827,3.5
2024-01-31,427.8,10121363.0,123708.9794,15.3004,1.4211,3.5
2024-02-29,428.7,9600088.0,123969.2368,15.3326,1.4241,3.5
2024-03-31,442.3,3917181.0,127902.014,19.9234,1.3828,3.5
2024-04-30,445.55,4675224.0,128841.8321,20.0698,1.393,3.5
2024-05-31,452.05,5506452.0,130721.4683,20.3626,1.4133,3.5
2024-06-30,480.4,5861464.0,138919.5739,21.6396,1.502,3.5
2024-07-31,545.65,15604954.0,157788.2296,24.5788,1.706,3.5
2024-08-31,495.25,14874527.0,143213.8197,22.3086,1.5484,3.5
2024-09-30,473.4,5042894.0,136895.3503,21.3243,1.4801,4.0
2024-10-31,469.95,5237527.0,135897.6973,21.1689,1.4693,4.0
2024-11-30,476.1,3322927.0,137676.1223,21.4459,1.4885,4.0
2024-12-31,506.0,7927576.0,146322.4488,22.7928,1.582,4.0
2025-01-31,456.75,11943401.0,132080.5899,20.5743,1.428,4.0
2025-02-28,379.7,2737945.0,109799.6716,17.1036,1.1871,4.0
2025-03-31,395.15,4023712.0,114267.4222,12.7262,1.1361,4.0
2025-04-30,454.2,27060196.0,131343.1942,14.628,1.3058,4.0
2025-05-31,491.75,8367302.0,142201.7079,15.8374,1.4138,4.0
2025-06-30,500.55,2912914.0,144772.4747,16.1208,1.4391,4.0
2025-07-31,436.9,15219214.0,126363.1889,14.0709,1.2561,4.0
2025-08-31,424.35,46980459.0,122733.3926,13.6667,1.22,4.0
2025-09-30,412.85,10519199.0,119407.4908,13.2963,1.187,5.0
2025-10-31,436.05,20955069.0,126117.5642,14.0435,1.2537,5.0
2025-11-30,437.1,5205297.0,126421.2528,14.0773,1.2567,5.0
2025-12-31,437.55,2240941.0,126555.7806,14.0918,1.258,5.0
2026-01-31,432.35,12692895.0,125051.7467,13.9243,1.243,5.0
2026-02-28,542.55,22065985.0,156925.6971,17.4734,1.5598,5.0
2026-03-31,544.85,1266689.0,157590.9358,17.5475,1.5665,5.0
