PIDI IN Equity,price,volume,mc,pe,bm,div
2017-03-31,349.58,22223224.0,358442.1372,41.6905,10.327,0.25
2017-04-30,359.9,14633968.0,369029.0357,42.9219,10.6321,0.25
2017-05-31,385.08,22940092.0,394842.6116,45.9243,11.3758,0.25
2017-06-30,402.8,18688178.0,413017.2147,48.0382,11.8994,0.25
2017-07-31,397.93,24976518.0,408018.558,47.4568,11.7554,0.25
2017-08-31,417.95,16965888.0,428551.5017,49.845,12.3469,2.375
2017-09-30,397.25,14737786.0,407343.6027,47.3763,11.7354,2.375
2017-10-31,390.9,14469918.0,400832.2575,46.619,11.5478,2.375
2017-11-30,421.1,25685680.0,431888.8785,50.2206,12.44,2.375
2017-12-31,451.1,45203456.0,462657.4996,53.7984,13.3263,2.375
2018-01-31,448.15,23168518.0,459631.9185,53.4466,13.2391,2.375
2018-02-28,450.48,25006242.0,462016.4668,53.7239,13.3078,2.375
2018-03-31,458.9,18051272.0,466068.3209,48.4327,13.0404,2.375
2018-04-30,543.1,28258266.0,551583.5804,57.3193,15.4331,2.375
2018-05-31,578.8,60247422.0,587841.238,61.0871,16.4475,2.375
2018-06-30,531.75,27325920.0,540067.1868,56.1214,15.1105,2.375
2018-07-31,561.73,22053462.0,570511.0306,59.285,15.9623,2.375
2018-08-31,584.33,23464082.0,593464.5208,61.6702,16.6045,3.0
2018-09-30,522.92,19753552.0,531238.9637,55.19,14.8598,3.0
2018-10-31,479.43,25017128.0,487047.3589,50.5989,13.6236,3.0
2018-11-30,581.65,25251040.0,590897.6301,61.3879,16.5285,3.0
2018-12-31,553.92,25840054.0,562731.8314,58.4617,15.7407,3.0
2019-01-31,559.88,32504704.0,568807.1674,59.0897,15.9097,3.0
2019-02-28,576.23,23125454.0,585419.5688,60.8153,16.3744,3.0
2019-03-31,623.13,28304784.0,633067.9315,68.4377,15.2617,3.0
2019-04-30,617.28,20173716.0,627124.5856,67.7952,15.1184,3.0
2019-05-31,644.83,34620496.0,655114.1888,70.821,15.7932,3.0
2019-06-30,607.23,24054444.0,616914.2221,66.6914,14.8722,3.0
2019-07-31,620.3,22288354.0,630199.9012,68.1274,15.1925,3.25
2019-08-31,688.85,29472660.0,699843.9496,75.6562,16.8714,3.25
2019-09-30,721.88,21653616.0,733396.0239,79.2834,17.6803,3.25
2019-10-31,700.8,27200386.0,711984.6699,76.9687,17.1641,3.25
2019-11-30,651.5,27434436.0,661897.8488,71.5541,15.9566,3.25
2019-12-31,693.45,18428794.0,704560.6362,76.1614,16.9841,3.25
2020-01-31,756.03,41020182.0,768138.2291,83.034,18.5167,3.25
2020-02-29,756.55,21067660.0,768671.6408,83.0917,18.5295,3.25
2020-03-31,678.2,55947970.0,689066.2967,61.7106,15.4686,3.5
2020-04-30,763.5,36872982.0,775905.0121,69.4722,17.4141,3.5
2020-05-31,734.2,34043650.0,746128.9586,66.8062,16.7458,3.5
2020-06-30,686.05,45739280.0,697201.1665,62.4249,15.6476,3.5
2020-07-31,678.5,35707070.0,689528.4476,61.7379,15.4754,3.5
2020-08-31,701.4,60406730.0,712803.3612,63.8217,15.9977,3.5
2020-09-30,717.13,34516714.0,728788.2923,65.2525,16.3564,3.5
2020-10-31,785.2,42273172.0,797970.4645,71.4468,17.9091,3.5
2020-11-30,771.28,40211932.0,783818.9888,70.1797,17.5914,3.5
2020-12-31,882.83,54120394.0,897204.9603,80.3298,20.1357,3.5
2021-01-31,835.13,31505990.0,848737.3371,75.9895,19.0478,3.5
2021-02-28,842.98,30440174.0,856715.2902,76.7038,19.2268,3.5
2021-03-31,904.7,22178808.0,919446.3929,81.2848,16.4395,3.5
2021-04-30,907.9,24529968.0,922698.5521,81.5723,16.4976,3.5
2021-05-31,1045.28,36571436.0,1062320.026,93.9151,18.9939,0.0
2021-06-30,1076.97,19434722.0,1094536.949,96.7633,19.5699,0.0
2021-07-31,1139.4,16465366.0,1157979.922,102.372,20.7042,4.25
2021-08-31,1140.18,24086136.0,1158767.56,102.4416,20.7183,4.25
2021-09-30,1190.97,22725588.0,1210395.944,107.0058,21.6414,4.25
2021-10-31,1156.83,15442696.0,1175689.068,103.9376,21.0209,4.25
2021-11-30,1102.93,23978188.0,1120910.133,99.0948,20.0414,4.25
2021-12-31,1231.4,28536478.0,1251493.185,110.6379,22.376,4.25
2022-01-31,1228.25,29778194.0,1248308.87,110.3549,22.3188,4.25
2022-02-28,1201.47,17710934.0,1221096.601,107.9492,21.8322,4.25
2022-03-31,1227.15,22901774.0,1247492.257,103.2955,19.4808,4.25
2022-04-30,1211.85,14738082.0,1231938.631,102.0076,19.2379,4.25
2022-05-31,1122.7,21028706.0,1141310.807,94.5034,17.8226,4.25
2022-06-30,1044.95,20213500.0,1062293.976,87.9588,16.5884,4.25
2022-07-31,1225.63,14420410.0,1245967.799,103.1671,19.4566,5.0
2022-08-31,1368.15,20166342.0,1390858.417,115.1641,21.7191,5.0
2022-09-30,1345.15,21114126.0,1367476.665,113.2281,21.354,5.0
2022-10-31,1292.2,14825642.0,1313647.806,108.771,20.5134,5.0
