VOLT IN Equity,price,volume,mc,pe,bm,div
2020-08-31,634.75,54350502.0,210029.0887,40.611,4.9057,4.0
2020-09-30,680.35,46612264.0,225117.4329,43.5285,5.2581,4.0
2020-10-31,705.55,47722286.0,233455.729,45.1408,5.4529,4.0
2020-11-30,806.6,54612494.0,266891.6321,51.6059,6.2339,4.0
2020-12-31,825.65,33917835.0,273194.9864,52.8247,6.3811,4.0
2021-01-31,908.1,46060140.0,300476.4333,58.0998,7.0183,4.0
2021-02-28,1018.15,59113019.0,336890.299,65.1408,7.8689,4.0
2021-03-31,1001.95,40795884.0,331529.9662,63.1348,6.6377,4.0
2021-04-30,957.15,33326136.0,316706.3298,60.3119,6.3409,4.0
2021-05-31,1007.3,45238313.0,333300.1996,63.472,6.6732,4.0
2021-06-30,1022.45,37773615.0,338313.1034,64.4266,6.7735,4.0
2021-07-31,1059.2,20146972.0,350473.1166,66.7423,7.017,4.0
2021-08-31,995.85,30708306.0,329511.5683,62.7505,6.5973,5.0
2021-09-30,1218.05,45755663.0,403034.1576,76.7517,8.0694,5.0
2021-10-31,1204.55,25110320.0,398567.2136,75.9011,7.9799,5.0
2021-11-30,1201.0,16280629.0,397392.5727,75.6774,7.9564,5.0
2021-12-31,1219.15,13750851.0,403398.1308,76.821,8.0766,5.0
2022-01-31,1183.3,20003934.0,391535.9128,74.5621,7.8391,5.0
2022-02-28,1263.15,21314715.0,417957.0593,79.5936,8.3681,5.0
2022-03-31,1245.4,32655314.0,412083.8552,81.7728,7.493,5.0
2022-04-30,1261.55,22524929.0,417427.6437,82.8332,7.5902,5.0
2022-05-31,1018.05,40028039.0,336857.2096,66.845,6.1252,5.0
2022-06-30,972.4,21126144.0,321752.3212,63.8477,5.8505,5.5
2022-07-31,1004.75,25383596.0,332456.4425,65.9718,6.0451,5.5
2022-08-31,1001.2,26668037.0,331281.8017,65.7387,6.0238,5.5
2022-09-30,906.45,30961719.0,299930.4726,59.5174,5.4537,5.5
2022-10-31,876.2,19664038.0,289921.2092,57.5312,5.2717,5.5
2022-11-30,819.5,35009452.0,271160.0444,53.8083,4.9306,5.5
2022-12-31,799.85,20379530.0,264658.1593,52.5181,4.8124,5.5
2023-01-31,802.65,23001311.0,265584.6366,52.7019,4.8292,5.5
2023-02-28,892.0,39751359.0,295149.1881,58.5686,5.3668,5.5
2023-03-31,818.25,25418288.0,270746.4385,200.5515,4.9659,5.5
2023-04-30,799.05,27366329.0,264393.4515,195.8456,4.8494,5.5
2023-05-31,821.35,21345978.0,271772.1812,201.3113,4.9848,5.5
2023-06-30,759.75,31392648.0,251389.6812,186.2132,4.6109,4.25
2023-07-31,780.1,32198240.0,258123.1857,191.201,4.7344,4.25
2023-08-31,869.9,36401150.0,287836.6353,213.2108,5.2794,4.25
2023-09-30,863.3,23603710.0,285652.796,211.5931,5.2393,4.25
2023-10-31,837.5,20510845.0,277115.9698,205.2696,5.0828,4.25
2023-11-30,827.95,18126327.0,273956.0205,202.9289,5.0248,4.25
2023-12-31,978.35,49950951.0,323721.0854,239.7917,5.9376,4.25
2024-01-31,1092.75,45705285.0,361574.2996,267.8309,6.6319,4.25
2024-02-29,1109.1,32184376.0,366984.2651,271.8382,6.7311,4.25
2024-03-31,1103.55,26013863.0,365147.8548,144.8228,6.2735,4.25
2024-04-30,1474.75,58412179.0,487972.2703,193.5367,8.3837,4.25
2024-05-31,1359.7,45137319.0,449903.981,178.4383,7.7296,4.25
2024-06-30,1472.2,30876029.0,487128.5142,193.2021,8.3692,5.5
2024-07-31,1537.6,24274703.0,508768.3762,201.7848,8.741,5.5
2024-08-31,1743.65,57085864.0,576947.1769,228.8255,9.9123,5.5
2024-09-30,1845.1,32006645.0,610515.4338,242.1391,10.4891,5.5
2024-10-31,1649.5,36333698.0,545794.3786,216.4698,9.3771,5.5
2024-11-30,1658.25,56842630.0,548689.6201,217.6181,9.4268,5.5
2024-12-31,1789.95,22337913.0,592267.1404,234.9016,10.1755,5.5
2025-01-31,1260.85,36896931.0,417196.0244,165.4659,7.1677,5.5
2025-02-28,1320.1,49270839.0,436800.9453,173.2415,7.5045,5.5
2025-03-31,1458.7,42358202.0,482661.5702,57.3614,7.4105,5.5
2025-04-30,1236.1,41207191.0,409006.6271,48.6079,6.2796,5.5
2025-05-31,1262.8,37869671.0,417841.2497,49.6579,6.4152,5.5
2025-06-30,1314.1,37328404.0,434815.6368,51.6752,6.6759,7.0
2025-07-31,1327.7,25614884.0,439315.6693,52.21,6.745,7.0
2025-08-31,1374.0,22981803.0,454635.6328,54.0307,6.9802,7.0
2025-09-30,1353.5,24047414.0,447852.4956,53.2245,6.876,7.0
2025-10-31,1383.6,25786817.0,457812.1263,54.4082,7.0289,7.0
2025-11-30,1376.3,24091039.0,455396.6677,54.1211,6.9918,7.0
2025-12-31,1361.2,12278639.0,450400.3081,53.5273,6.9151,7.0
2026-01-31,1327.9,17101408.0,439381.8462,52.2179,6.746,7.0
2026-02-28,1561.3,18344555.0,516610.3446,61.396,7.9317,7.0
2026-03-31,1482.9,3046951.0,490668.989,58.313,7.5334,7.0
