UNITDSPR IN Equity,price,volume,mc,pe,bm,div
2021-09-30,853.1,73660749.0,619895.4878,157.6895,15.0467,0.0
2021-10-31,947.35,73875583.0,688381.1867,175.1109,16.7091,0.0
2021-11-30,882.95,51930790.0,641585.6534,163.207,15.5732,0.0
2021-12-31,898.25,27688279.0,652703.2257,166.0351,15.8431,0.0
2022-01-31,866.4,33541124.0,629559.7827,160.1479,15.2813,0.0
2022-02-28,885.15,35753224.0,643184.2586,163.6137,15.612,0.0
2022-03-31,888.35,42584520.0,645509.5025,76.0574,12.7207,0.0
2022-04-30,862.85,22769880.0,626980.2152,73.8741,12.3555,0.0
2022-05-31,809.4,29885054.0,588141.3759,69.2979,11.5902,0.0
2022-06-30,759.75,25205676.0,552063.7637,65.0471,10.8792,0.0
2022-07-31,779.0,30195767.0,566051.559,66.6952,11.1549,0.0
2022-08-31,811.85,43904408.0,589921.6408,69.5077,11.6253,0.0
2022-09-30,842.3,52559285.0,612047.7896,72.1147,12.0613,0.0
2022-10-31,896.35,32688654.0,651322.6122,76.7423,12.8353,0.0
2022-11-30,932.3,27769595.0,677445.274,79.8202,13.35,0.0
2022-12-31,877.55,21389253.0,637661.8043,75.1327,12.566,0.0
2023-01-31,768.65,26303418.0,558530.8483,65.8091,11.0067,0.0
2023-02-28,740.6,17985978.0,538676.0417,63.4075,10.605,0.0
2023-03-31,756.3,21108251.0,550095.4501,47.2392,8.951,0.0
2023-04-30,777.15,14748439.0,565260.7154,48.5415,9.1978,0.0
2023-05-31,883.5,22381597.0,642614.4786,55.1843,10.4564,0.0
2023-06-30,912.2,14027142.0,663489.4481,56.9769,10.7961,0.0
2023-07-31,1015.85,36951194.0,738879.364,63.451,12.0228,0.0
2023-08-31,1007.55,16749450.0,732842.3519,62.9325,11.9246,0.0
2023-09-30,1007.25,17395151.0,732624.1467,62.9138,11.921,0.0
2023-10-31,1032.2,17750891.0,750771.5505,64.4722,12.2163,0.0
2023-11-30,1048.85,22779209.0,762881.9422,65.5122,12.4134,4.0
2023-12-31,1117.75,23091491.0,812996.4159,69.8157,13.2288,4.0
2024-01-31,1089.75,21424934.0,792630.5921,68.0668,12.8975,4.0
2024-02-29,1165.85,19506149.0,847981.992,72.8201,13.7981,4.0
2024-03-31,1134.25,11970239.0,824997.705,57.1987,11.3099,4.0
2024-04-30,1177.0,22622010.0,856091.954,59.3545,11.7362,4.0
2024-05-31,1159.4,25810917.0,843290.579,58.467,11.5607,4.0
2024-06-30,1276.5,25307275.0,928463.3639,64.3722,12.7283,4.0
2024-07-31,1413.3,28776733.0,1027964.961,71.2708,14.0924,10.0
2024-08-31,1474.35,18509049.0,1072369.73,74.3495,14.7012,10.0
2024-09-30,1589.9,19576051.0,1156415.121,80.1765,15.8534,10.0
2024-10-31,1449.1,15104060.0,1054004.121,73.0761,14.4494,10.0
2024-11-30,1529.1,14542486.0,1112192.189,77.1104,15.2471,10.0
2024-12-31,1625.45,18189349.0,1182272.444,81.9692,16.2078,10.0
2025-01-31,1424.0,21548859.0,1035747.615,71.8104,14.1991,5.0
2025-02-28,1284.45,14668945.0,934245.8031,64.7731,12.8076,5.0
2025-03-31,1401.3,11573498.0,1019236.75,62.895,12.2779,5.0
2025-04-30,1563.9,13481739.0,1137503.999,70.193,13.7026,9.0
2025-05-31,1520.1,18400168.0,1105646.032,68.2271,13.3188,9.0
2025-06-30,1428.1,40927583.0,1038729.753,64.0978,12.5127,9.0
2025-07-31,1340.2,25811684.0,974795.6132,60.1526,11.7425,4.0
2025-08-31,1311.0,23395641.0,953556.9683,58.842,11.4867,12.0
2025-09-30,1324.3,21975971.0,963230.7346,59.439,11.6032,12.0
2025-10-31,1431.4,25688779.0,1041130.011,64.246,12.5416,12.0
2025-11-30,1451.6,15100086.0,1055822.498,65.1526,12.7186,12.0
2025-12-31,1443.7,15422586.0,1050076.427,64.798,12.6494,12.0
2026-01-31,1362.6,24408992.0,991088.2723,61.158,11.9388,12.0
2026-02-28,1380.8,11449807.0,1004326.058,61.9749,12.0983,12.0
2026-03-31,1328.0,2509998.0,965921.9328,59.605,11.6357,12.0
