CLPL IN Equity,price,volume,mc,pe,bm,div
2018-05-31,501.4,1279171.0,37907.5949,26.1738,10.419,1.5
2018-06-30,428.1,3185252.0,32365.8584,22.3474,8.8958,1.5
2018-07-31,454.2,778206.0,34339.1097,23.7099,9.4382,1.5
2018-08-31,437.8,1975826.0,33099.2123,22.8538,9.0974,1.5
2018-09-30,410.95,1845389.0,31069.2583,21.4522,8.5395,2.0
2018-10-31,418.35,817405.0,31628.7242,21.8385,8.6932,2.0
2018-11-30,400.7,628733.0,30294.3225,20.9171,8.3265,2.0
2018-12-31,382.0,416978.0,28880.537,19.9409,7.9379,2.0
2019-01-31,363.15,1279852.0,27455.411,18.9569,7.5462,2.0
2019-02-28,390.0,1230910.0,29485.365,20.3585,8.1041,2.0
2019-03-31,401.7,976488.0,30380.6714,17.2034,4.8002,2.0
2019-04-30,362.85,531600.0,27442.4362,15.5396,4.3359,2.0
2019-05-31,403.65,1272617.0,30528.1504,17.2869,4.8235,2.0
2019-06-30,450.9,1232271.0,34107.316,19.3105,5.3881,2.0
2019-07-31,427.25,754565.0,32318.3649,18.2976,5.1055,2.0
2019-08-31,427.35,646723.0,32325.9292,18.3019,5.1067,2.0
2019-09-30,424.2,467926.0,32087.6546,18.167,5.069,2.2
2019-10-31,429.5,882534.0,32488.5611,18.394,5.1324,2.2
2019-11-30,314.0,2432609.0,23751.8235,13.4475,3.7522,2.2
2019-12-31,300.85,1444146.0,22757.1213,12.8844,3.595,2.2
2020-01-31,287.85,1680335.0,21773.7656,12.3276,3.4397,2.2
2020-02-29,299.1,8251445.0,22624.7465,12.8094,3.5741,2.2
2020-03-31,282.4,2757578.0,21361.5126,9.9367,2.2535,4.2
2020-04-30,351.45,3537628.0,26584.6445,12.3663,2.8045,4.2
2020-05-31,320.2,1620105.0,24220.8086,11.2667,2.5552,4.2
2020-06-30,312.4,11044449.0,23630.7951,10.9923,2.4929,4.2
2020-07-31,431.95,15511377.0,32673.8859,15.1988,3.4469,4.2
2020-08-31,510.45,28989262.0,38611.8417,17.9609,4.0733,4.2
2020-09-30,553.65,9298545.0,41879.6085,19.481,4.4181,2.5
2020-10-31,497.45,2930318.0,37628.4855,17.5035,3.9696,2.5
2020-11-30,489.65,3847137.0,37038.472,17.2291,3.9074,2.5
2020-12-31,506.4,4771487.0,38305.4881,17.8184,4.041,2.5
2021-01-31,459.5,3302197.0,34757.8432,16.1682,3.6668,2.5
2021-02-28,464.55,3612279.0,35139.839,16.3459,3.7071,2.5
2021-03-31,403.45,2507623.0,30518.0671,12.596,2.7463,2.5
2021-04-30,493.1,8948968.0,37299.4395,15.3949,3.3565,2.5
2021-05-31,597.45,13219331.0,45192.7604,18.6528,4.0668,1.9
2021-06-30,667.1,8629946.0,50461.2779,20.8273,4.5409,1.9
2021-07-31,884.7,23312746.0,66921.1409,27.621,6.0221,1.9
2021-08-31,730.4,8526975.0,55249.4646,22.8036,4.9718,1.9
2021-09-30,884.25,20661333.0,66887.1017,27.6069,6.0191,3.0
2021-10-31,821.0,5995491.0,62102.6978,25.6322,5.5885,3.0
2021-11-30,748.55,3821954.0,56716.7921,23.3703,5.0954,3.0
