KKB IN Equity,price,volume,mc,pe,bm,div
2020-01-31,147.2,955905.0,11688.9939,334.5455,1.2855,2.5
2020-02-29,141.5,1616631.0,11236.363,321.5909,1.2357,4.0
2020-03-31,86.8,703916.0,6892.6948,9.5912,0.7309,4.0
2020-04-30,104.35,934526.0,8286.3214,11.5304,0.8787,4.0
2020-05-31,96.2,662978.0,7639.1387,10.6298,0.81,4.0
2020-06-30,115.65,3383803.0,9183.6423,12.779,0.9738,4.0
2020-07-31,131.05,9432470.0,10406.5398,14.4807,1.1035,4.0
2020-08-31,126.65,3884857.0,10057.1405,13.9945,1.0664,4.0
2020-09-30,114.85,1580437.0,9120.1152,12.6906,0.9671,2.5
2020-10-31,102.75,1307183.0,8159.2668,11.3536,0.8652,2.5
2020-11-30,138.65,6155960.0,11010.0472,15.3204,1.1675,2.5
2020-12-31,129.0,3451514.0,10243.7511,14.2541,1.0862,2.5
2021-01-31,139.5,4005801.0,11077.5448,15.4144,1.1746,2.5
2021-02-28,157.0,4347977.0,12467.2009,17.3481,1.322,2.5
2021-03-31,239.3,7689643.0,19002.5553,11.794,1.7202,2.5
2021-04-30,244.15,2124889.0,19387.6886,12.033,1.755,0.5
2021-05-31,401.0,4749950.0,31842.9781,19.7634,2.8825,0.5
2021-06-30,419.5,2735590.0,33312.0432,20.6752,3.0155,0.5
2021-07-31,429.75,1299853.0,34125.9859,21.1804,3.0892,0.5
2021-08-31,377.35,828257.0,29964.9582,18.5978,2.7125,3.5
2021-09-30,394.3,2042834.0,31310.9395,19.4332,2.8344,3.0
2021-10-31,394.65,1386793.0,31338.7326,19.4505,2.8369,3.0
2021-11-30,350.6,467685.0,27840.7695,17.2794,2.5202,3.0
2021-12-31,334.05,548024.0,26526.5517,16.4638,2.4013,3.0
2022-01-31,356.95,703849.0,28345.0161,17.5924,2.5659,3.0
2022-02-28,305.0,711101.0,24219.7224,15.032,2.1924,3.0
2022-03-31,283.05,1288535.0,22476.6965,23.8258,1.909,3.0
2022-04-30,324.5,676956.0,25768.1965,27.3148,2.1885,3.0
2022-05-31,265.0,504207.0,21043.3654,22.3064,1.7872,3.0
2022-06-30,307.1,1508478.0,24386.4812,25.8502,2.0712,3.0
2022-07-31,339.25,570108.0,26939.4781,28.5564,2.288,3.0
2022-08-31,332.75,1944089.0,26423.3201,28.0093,2.2442,3.0
2022-09-30,343.3,2161990.0,27261.0843,28.8973,2.3153,3.0
2022-10-31,351.05,1014101.0,27876.5035,29.5497,2.3676,3.0
2022-11-30,383.4,4598711.0,30445.3822,32.2727,2.5858,3.0
2022-12-31,324.1,2780047.0,25736.4329,27.2811,2.1858,3.0
2023-01-31,321.75,1444130.0,25549.8219,27.0833,2.17,3.0
2023-02-28,368.7,4959682.0,29278.071,31.0354,2.4866,3.0
2023-03-31,410.25,4129716.0,32577.5119,13.8645,2.3205,3.0
2023-04-30,425.1,3358321.0,33756.7344,14.3663,2.4045,3.0
2023-05-31,572.2,10707443.0,45437.7875,19.3376,3.2366,3.0
2023-06-30,610.3,4994093.0,48463.2675,20.6252,3.4521,3.0
2023-07-31,762.85,6260319.0,60577.0992,25.7807,4.315,4.5
2023-08-31,849.6,7913696.0,67465.8235,28.7124,4.8057,4.5
