IFCI IN Equity,price,volume,mc,pe,bm,div
2025-06-30,65.17,457538250.0,175588.465,53.5886,1.9993,0.0
2025-07-31,57.16,173418126.0,154007.0072,47.0021,,0.0
2025-08-31,51.08,80254465.0,137625.576,42.0025,,0.0
2025-09-30,54.05,167927552.0,145627.6896,37.7972,1.6431,0.0
2025-10-31,57.95,207775177.0,156135.5155,40.5245,1.7617,0.0
2025-11-30,50.94,99652769.0,137248.372,35.6224,1.5486,0.0
2025-12-31,52.9,195130198.0,142529.2281,35.5034,1.5334,0.0
2026-01-31,55.09,1250547418.0,148429.7765,36.9732,,0.0
2026-02-28,59.98,877075369.0,161604.9736,40.255,,0.0
2026-03-31,54.6,48670088.0,147109.5584,36.6443,,0.0
