MM IN Equity,price,volume,mc,pe,bm,div
2024-09-30,3094.9,71676400.0,3848597.379,30.6002,6.0215,21.1
2024-10-31,2728.55,83676891.0,3393030.592,26.978,5.3087,21.1
2024-11-30,2966.1,73947376.0,3688430.866,29.3267,5.7709,21.1
2024-12-31,3007.1,55970231.0,3739415.548,29.7321,5.8507,21.1
2025-01-31,2989.85,60702877.0,3717964.675,29.5615,5.8171,21.1
2025-02-28,2585.1,80784585.0,3214646.381,25.5596,5.0296,21.1
2025-03-31,2665.8,66870655.0,3314999.158,22.9989,3.8628,21.1
2025-04-30,2928.8,59447199.0,3642047.24,25.2679,4.2439,21.1
2025-05-31,2976.8,61761873.0,3701736.624,25.682,4.3135,21.1
2025-06-30,3183.2,58677850.0,3958400.975,27.4627,4.6125,21.1
2025-07-31,3203.1,50878498.0,3983147.199,27.6344,4.6414,25.3
2025-08-31,3199.5,52924711.0,3978670.495,27.6033,4.6362,25.3
2025-09-30,3427.0,68089126.0,4261573.304,29.566,4.9658,25.3
2025-10-31,3487.2,43243602.0,4336433.74,30.0854,5.053,25.3
2025-11-30,3757.3,49366021.0,4672310.877,32.4157,5.4444,25.3
2025-12-31,3709.2,39658474.0,4612497.14,32.0007,5.3747,25.3
2026-01-31,3431.8,51422146.0,4267542.242,29.6075,4.9728,25.3
2026-02-28,3397.4,50806264.0,4224764.85,29.3107,4.9229,25.3
2026-03-31,3349.0,10172340.0,4164578.055,28.8931,4.8528,25.3
