BPCL IN Equity,price,volume,mc,pe,bm,div
2021-11-30,185.0,193316302.0,802609.6403,4.5194,1.4987,42.0
2021-12-31,192.73,248178062.0,836124.0158,4.7081,1.5613,42.0
2022-01-31,198.53,202846416.0,861286.9126,4.8498,1.6083,42.0
2022-02-28,174.9,232054092.0,758791.4924,4.2726,1.4169,36.5
2022-03-31,179.68,302318514.0,779507.4979,6.5443,1.4743,34.0
2022-04-30,181.3,192275440.0,786557.4475,6.6035,1.4876,34.0
2022-05-31,163.1,183585992.0,707598.0126,5.9406,1.3383,34.0
2022-06-30,154.2,216042474.0,668985.9812,5.6165,1.2652,34.0
2022-07-31,165.15,174797302.0,716504.1813,6.0153,1.3551,34.0
2022-08-31,164.33,142942636.0,712924.9143,5.9852,1.3483,37.0
2022-09-30,152.4,178501696.0,661188.2364,5.5509,1.2505,8.0
2022-10-31,151.82,130855730.0,658693.5957,5.53,1.2457,8.0
2022-11-30,170.58,162329324.0,740040.5736,6.2129,1.3996,5.5
2022-12-31,165.25,163172530.0,716938.0319,6.0189,1.3559,5.5
2023-01-31,171.63,132057764.0,744596.0044,6.2511,1.4082,5.5
2023-02-28,158.68,105479080.0,688412.3583,5.7795,1.3019,3.0
2023-03-31,172.15,194630586.0,746873.7198,34.3956,1.3954,3.0
2023-04-30,178.8,111633078.0,775724.7813,35.7243,1.4493,3.0
2023-05-31,181.75,133407652.0,788523.3724,36.3137,1.4733,3.0
2023-06-30,182.35,140398234.0,791126.4757,36.4336,1.4781,3.0
2023-07-31,188.75,161151274.0,818892.9109,37.7123,1.53,3.0
2023-08-31,170.28,163775062.0,738739.022,34.021,1.3802,2.0
2023-09-30,173.3,186312754.0,751863.0011,34.6254,1.4048,2.0
2023-10-31,174.63,151067904.0,757611.5208,34.8901,1.4155,2.0
2023-11-30,217.85,293094576.0,945143.4206,43.5265,1.7659,2.0
2023-12-31,225.33,469842780.0,977573.7491,45.02,1.8265,21.0
2024-01-31,251.18,420883900.0,1089724.116,50.1848,2.036,21.0
2024-02-29,301.93,674540216.0,1309903.27,60.3247,2.4474,21.0
2024-03-31,301.2,333346360.0,1306757.853,4.7779,1.7277,21.0
2024-04-30,303.68,306277110.0,1317495.654,4.8172,1.7419,21.0
2024-05-31,313.9,384683810.0,1361856.873,4.9794,1.8006,21.0
2024-06-30,303.95,436962437.0,1318688.743,4.8215,1.7435,21.0
2024-07-31,350.05,400202508.0,1518693.846,5.5528,2.0079,21.0
2024-08-31,357.65,304064542.0,1551666.488,5.6734,2.0515,21.0
2024-09-30,369.95,285968109.0,1605030.105,5.8685,2.1221,21.0
2024-10-31,310.75,239270067.0,1348190.58,4.9294,1.7825,21.0
2024-11-30,292.1,171622492.0,1267277.453,4.6336,1.6755,21.0
2024-12-31,292.45,186359796.0,1268795.93,4.6391,1.6775,21.0
2025-01-31,261.1,233361687.0,1132783.783,4.1418,1.4977,15.5
2025-02-28,237.3,179183066.0,1029527.352,3.7643,1.3612,15.5
2025-03-31,278.47,294621619.0,1208143.623,8.9225,1.4619,15.5
2025-04-30,310.05,236217037.0,1345153.627,9.9343,1.6277,15.5
2025-05-31,318.4,142653189.0,1381380.147,10.2019,1.6716,15.5
2025-06-30,331.95,191161208.0,1440166.897,10.636,1.7427,15.5
2025-07-31,329.3,159402746.0,1428669.857,10.5511,1.7288,10.0
2025-08-31,308.2,113146591.0,1337127.391,9.875,1.618,10.0
2025-09-30,339.65,140790458.0,1473573.389,10.8827,1.7831,10.0
2025-10-31,356.8,170741038.0,1547978.758,11.4322,1.8732,10.0
2025-11-30,359.1,183791979.0,1557957.321,11.5059,1.8852,12.5
2025-12-31,384.0,132042941.0,1665986.107,12.3037,2.016,12.5
2026-01-31,364.5,147883729.0,1581385.25,11.6789,1.9136,12.5
2026-02-28,385.4,139811243.0,1672060.015,12.3486,2.0233,22.5
2026-03-31,360.65,43170512.0,1564681.978,11.5556,1.8934,22.5
