BHARTI IN Equity,price,volume,mc,pe,bm,div
2024-04-30,1322.3,146738831.0,7497227.784,101.0933,9.1171,4.0
2024-05-31,1372.75,145400015.0,7789813.866,104.9503,9.4649,4.0
2024-06-30,1444.05,235185034.0,8219313.754,82.1733,9.3061,4.0
2024-07-31,1491.55,121959487.0,8491785.887,84.8763,9.6122,4.0
2024-08-31,1589.05,156541012.0,9047995.459,90.4245,10.2405,8.0
2024-09-30,1709.55,142850002.0,9734398.584,79.7989,11.9449,8.0
2024-10-31,1612.6,100759272.0,9182642.145,75.2735,11.2675,8.0
2024-11-30,1627.15,115040846.0,9267127.65,75.9526,11.3691,8.0
2024-12-31,1587.75,141813741.0,9045098.431,37.1897,9.3387,8.0
2025-01-31,1626.3,105456664.0,9265444.685,38.0927,9.5654,8.0
2025-02-28,1570.2,140693380.0,8954837.41,36.7787,9.2354,8.0
2025-03-31,1733.4,130693874.0,9885682.673,29.8331,9.2934,8.0
2025-04-30,1864.5,134352806.0,10633344.98,32.0894,9.9963,8.0
2025-05-31,1856.2,244239325.0,10586006.29,31.9466,9.9518,8.0
2025-06-30,2009.6,139978610.0,11460833.83,32.9281,9.7358,8.0
2025-07-31,1914.3,117794049.0,10917335.42,31.3665,9.2741,16.0
2025-08-31,1888.8,199215038.0,10771937.0,30.9487,9.1506,16.0
2025-09-30,1878.4,106779901.0,10712598.78,28.4761,9.7182,16.0
2025-10-31,2054.5,105780664.0,11716894.54,31.1457,10.6293,16.0
2025-11-30,2101.6,254282926.0,11985488.13,31.8597,10.873,16.0
2025-12-31,2105.6,103779602.0,12008393.44,40.5983,10.2821,16.0
2026-01-31,1968.7,124548940.0,11227672.19,37.9588,9.6136,16.0
2026-02-28,1879.3,154626823.0,11495540.18,36.235,9.177,16.0
2026-03-31,1904.9,46797646.0,11641514.22,36.7286,9.302,16.0
