CYL IN Equity,price,volume,mc,pe,bm,div
2023-11-30,1935.2,9855189.0,214350.4173,41.1482,6.1726,28.0
2023-12-31,2293.15,14272423.0,254105.5017,48.7593,7.3143,28.0
2024-01-31,1973.8,7799733.0,218761.7037,41.969,6.2957,28.0
2024-02-29,2025.4,7554324.0,224480.6741,43.0661,6.4603,28.0
2024-03-31,1996.35,5662741.0,221374.8762,32.075,5.1989,28.0
2024-04-30,1806.5,10416886.0,200322.4454,29.0247,4.7045,28.0
2024-05-31,1734.75,9614031.0,192385.7977,27.8719,4.5177,28.0
2024-06-30,1837.0,7462873.0,203752.6993,29.5148,4.7839,30.0
2024-07-31,1756.8,19331728.0,194873.8025,28.2262,4.5751,30.0
2024-08-31,1977.25,12020777.0,219327.3144,31.7682,5.1492,30.0
2024-09-30,1880.75,8367250.0,208670.561,30.2177,4.8979,30.0
2024-10-31,1835.75,7025660.0,203694.7411,29.4947,4.7807,30.0
2024-11-30,1853.45,4089056.0,205703.9898,29.7791,4.8268,30.0
2024-12-31,1837.35,8234010.0,203966.0223,29.5204,4.7848,30.0
2025-01-31,1454.45,37094620.0,161470.6057,23.3684,3.7877,30.0
2025-02-28,1267.15,14500796.0,140687.5475,20.3591,3.2999,30.0
2025-03-31,1264.9,8942555.0,140453.135,22.6077,2.6453,30.0
2025-04-30,1187.7,19264692.0,131880.93,21.2279,2.4839,30.0
2025-05-31,1346.8,8768008.0,149563.1286,24.0715,2.8166,30.0
2025-06-30,1288.6,10313552.0,143099.9758,23.0313,2.6949,30.0
2025-07-31,1205.6,10468017.0,133920.7293,21.5478,2.5213,26.0
2025-08-31,1168.0,6258802.0,129747.3104,20.8758,2.4427,26.0
2025-09-30,1146.2,9528719.0,127328.0707,20.4861,2.3971,26.0
2025-10-31,1162.5,11680620.0,129142.5621,20.7775,2.4312,30.0
2025-11-30,1123.6,7752044.0,124824.7218,20.0822,2.3498,30.0
2025-12-31,1117.8,12006142.0,124190.0336,19.9786,2.3377,30.0
2026-01-31,1138.1,8549894.0,126459.5684,20.3414,2.3801,30.0
2026-02-28,914.7,5703885.0,101641.8143,16.3485,1.9129,30.0
2026-03-31,885.5,690011.0,98397.0991,15.8266,1.8519,30.0
