WLCO IN Equity,price,volume,mc,pe,bm,div
2023-01-31,210.75,13285143.0,55117.32,12.5297,1.2419,5.0
2023-02-28,184.2,17519306.0,48173.7146,10.9512,1.0854,5.0
2023-03-31,200.5,16600176.0,52436.6437,25.3477,1.1081,5.0
2023-04-30,225.15,10742235.0,58883.3433,28.464,1.2444,5.0
2023-05-31,252.65,18448819.0,66075.4016,31.9406,1.3963,5.0
2023-06-30,260.95,25959821.0,68246.0956,32.9899,1.4422,5.0
2023-07-31,322.05,39002128.0,84231.9827,40.7143,1.7799,5.0
2023-08-31,327.35,30976406.0,85618.1945,41.3843,1.8092,5.0
2023-09-30,393.55,42346543.0,102979.0065,49.7535,2.1751,5.0
2023-10-31,425.2,27483500.0,111260.7638,53.7547,2.35,5.0
2023-11-30,530.35,47111296.0,138775.0378,67.048,2.9311,5.0
2023-12-31,548.15,18761942.0,143432.7085,69.2984,3.0295,5.0
2024-01-31,587.4,26234457.0,153703.1341,74.2604,3.2464,5.0
2024-02-29,510.25,19220447.0,133515.5332,64.507,2.82,5.0
2024-03-31,515.4,10086059.0,134863.1177,12.1413,2.4013,5.0
2024-04-30,564.35,12271823.0,147671.7122,13.2945,2.6293,5.0
2024-05-31,548.95,26945459.0,143642.042,12.9317,2.5576,5.0
2024-06-30,549.05,43400448.0,143974.5786,12.934,2.5581,5.0
2024-07-31,640.7,33878138.0,168007.4902,15.0931,2.9851,5.0
2024-08-31,708.4,33550733.0,185848.3114,16.6879,3.3005,5.0
2024-09-30,766.3,18424622.0,201038.3414,18.0518,3.5702,5.0
2024-10-31,727.85,16406265.0,190951.0072,17.1461,3.3911,5.0
2024-11-30,774.7,19829882.0,203242.0763,18.2497,3.6094,5.0
2024-12-31,813.8,12166233.0,213499.9377,19.1708,3.7916,5.0
2025-01-31,742.0,15365719.0,194663.2511,17.4794,3.457,5.0
2025-02-28,736.9,15014391.0,193325.2692,17.3592,3.4333,5.0
2025-03-31,869.8,23744440.0,228191.5038,11.9478,3.0578,5.0
2025-04-30,767.5,13455662.0,202022.8044,10.5426,2.6981,5.0
2025-05-31,935.55,34873987.0,246257.2439,12.851,3.2889,5.0
2025-06-30,924.5,27071356.0,243348.6419,12.6992,3.25,5.0
2025-07-31,930.9,18830125.0,245033.2621,12.7871,3.2725,5.0
2025-08-31,842.4,6866724.0,222062.4483,11.5714,2.9614,5.0
2025-09-30,857.35,9183031.0,226003.3714,11.7768,3.014,5.0
2025-10-31,965.75,23846061.0,254578.3588,13.2658,3.3951,5.0
2025-11-30,856.4,12002647.0,225752.9449,11.7637,3.0106,5.0
2025-12-31,814.4,12040216.0,214831.1013,11.1868,2.863,5.0
2026-01-31,729.25,14570787.0,192369.3279,10.0172,2.5637,5.0
2026-02-28,825.25,8973860.0,217693.2298,11.3359,2.9011,5.0
2026-03-31,823.65,1974565.0,217271.1712,11.3139,2.8955,5.0
