JPVL IN Equity,price,volume,mc,pe,bm,div
2023-02-28,6.65,686569675.0,45575.5012,67.8571,0.4387,0.0
2023-03-31,5.55,1004329333.0,38036.6965,69.375,0.3641,0.0
2023-04-30,5.85,621085723.0,40092.7341,73.125,0.3838,0.0
2023-05-31,6.0,923286840.0,41120.753,75.0,0.3937,0.0
2023-06-30,6.15,1469760090.0,42148.7718,76.875,0.4035,0.0
2023-07-31,6.1,809951121.0,41806.0988,76.25,0.4002,0.0
2023-08-31,8.0,3947104153.0,54827.6706,100.0,0.5249,0.0
2023-09-30,10.25,6609770480.0,70247.953,128.125,0.6725,0.0
2023-10-31,9.6,3464405029.0,65793.2047,120.0,0.6299,0.0
2023-11-30,13.1,6675647618.0,89780.3106,163.75,0.8595,0.0
2023-12-31,13.95,2246083167.0,95605.7506,174.375,0.9153,0.0
2024-01-31,18.55,3629198681.0,127131.6612,231.875,1.2171,0.0
2024-02-29,18.2,2342778480.0,124732.9507,227.5,1.1941,0.0
2024-03-31,15.25,498184050.0,104515.2471,10.227,0.9114,0.0
2024-04-30,19.95,539799496.0,136726.5036,13.379,1.1923,0.0
2024-05-31,19.25,900833150.0,131929.0824,12.9095,1.1504,0.0
2024-06-30,19.6,1047649121.0,134327.793,13.1443,1.1714,0.0
2024-07-31,19.85,862879796.0,136041.1577,13.3119,1.1863,0.0
2024-08-31,17.92,886712803.0,122813.9822,12.0176,1.071,0.0
2024-09-30,18.24,572105796.0,125007.089,12.2322,1.0901,0.0
2024-10-31,18.2,2608318218.0,124732.9507,12.2054,1.0877,0.0
2024-11-30,18.46,1109182457.0,126514.8499,12.3797,1.1032,0.0
2024-12-31,17.7,1389789008.0,121306.2212,11.8701,1.0578,0.0
2025-01-31,16.33,751212042.0,111916.9826,10.9513,0.9759,0.0
2025-02-28,13.36,644133709.0,91562.2099,8.9596,0.7984,0.0
2025-03-31,14.25,960201291.0,97661.7883,12.0044,0.7952,0.0
2025-04-30,14.54,701208155.0,99649.2913,12.2487,0.8114,0.0
2025-05-31,15.54,701617826.0,106502.7502,13.0911,0.8672,0.0
2025-06-30,18.3,1952741676.0,125418.2965,15.4162,1.0212,0.0
2025-07-31,21.0,6820994909.0,143922.6354,17.6907,1.1719,0.0
2025-08-31,18.39,787886270.0,126035.1078,15.492,1.0262,0.0
2025-09-30,17.43,713487362.0,119455.7874,14.6833,0.9727,0.0
2025-10-31,18.02,576899401.0,123499.3281,15.1803,1.0056,0.0
2025-11-30,18.79,2786374623.0,128776.4914,15.829,1.0486,0.0
2025-12-31,17.18,978343236.0,117742.4226,14.4727,0.9587,0.0
2026-01-31,15.19,854980048.0,104104.0396,12.7963,0.8477,0.0
2026-02-28,15.25,746675166.0,104515.2471,12.8468,0.851,0.0
2026-03-31,13.85,111770232.0,94920.4074,11.6674,0.7729,0.0
