HUVR IN Equity,price,volume,mc,pe,bm,div
2017-02-28,852.47,25184247.0,1874045.427,,,16.5
2017-03-31,897.6,30253106.0,1973345.756,,,16.5
2017-04-30,920.44,24072009.0,2023558.667,,,16.5
2017-05-31,1050.45,39538523.0,2309361.033,,,16.5
2017-06-30,1062.85,31526671.0,2336755.718,,,17.0
2017-07-31,1137.82,32250628.0,2501579.679,,,17.0
2017-08-31,1200.83,20674073.0,2640105.398,,,17.0
2017-09-30,1155.69,26931442.0,2540880.47,,,17.0
2017-10-31,1218.25,24077690.0,2678433.033,,,17.0
2017-11-30,1252.71,24701005.0,2754190.688,,,18.0
2017-12-31,1346.63,21714286.0,2960681.938,,,18.0
2018-01-31,1348.1,27260969.0,2963928.656,,,18.0
2018-02-28,1297.31,26037858.0,2852241.637,,,18.0
2018-03-31,1312.66,24604128.0,2886074.445,,,18.0
2018-04-30,1485.49,17205569.0,3266057.472,,,18.0
2018-05-31,1586.45,30973553.0,3488184.942,,,18.0
2018-06-30,1615.69,28343439.0,3552488.771,,,20.0
2018-07-31,1704.78,38229479.0,3748388.13,,,20.0
2018-08-31,1752.48,23088920.0,3853284.022,,,20.0
2018-09-30,1583.45,37796375.0,3481621.36,,,20.0
2018-10-31,1596.54,35723896.0,3510411.191,,,21.0
2018-11-30,1726.79,25403992.0,3796794.246,,,21.0
2018-12-31,1791.42,40578373.0,3938903.449,,,21.0
2019-01-31,1735.89,37756650.0,3816817.249,,,21.0
2019-02-28,1705.77,29348435.0,3750578.991,,,21.0
2019-03-31,1680.32,35275320.0,3694717.479,,,21.0
2019-04-30,1730.43,26567405.0,3804900.933,,,21.0
2019-05-31,1760.75,32562017.0,3871746.655,,,21.0
2019-06-30,1759.87,19717746.0,3869798.334,,,22.0
2019-07-31,1699.86,25942725.0,3737853.711,,,22.0
2019-08-31,1852.7,36226306.0,4073939.072,,,22.0
2019-09-30,1951.2,33419324.0,4290549.256,,52.466,22.0
2019-10-31,2141.6,35247916.0,4709223.908,,57.5856,24.0
2019-11-30,2003.72,28914618.0,4406041.98,,53.8783,24.0
2019-12-31,1893.16,29843807.0,4162933.586,,51.2827,24.0
2020-01-31,2002.69,28013167.0,4403768.927,,,24.0
2020-02-29,2141.01,43882878.0,4707925.021,,,24.0
2020-03-31,2262.84,69482708.0,4975894.364,72.401,59.3964,24.0
2020-04-30,2160.94,106610764.0,5153281.646,69.1408,56.7218,24.0
2020-05-31,2025.43,335513760.0,4830115.715,64.8049,53.1648,24.0
2020-06-30,2146.18,80212997.0,5118244.452,69.1778,56.4105,25.0
2020-07-31,2175.61,69103552.0,5188444.227,70.1266,,34.5
2020-08-31,2084.5,39541858.0,4971153.62,67.1897,,34.5
2020-09-30,2036.16,51948696.0,4859469.724,65.5893,10.2178,34.5
2020-10-31,2039.16,50610031.0,4866635.861,65.6861,10.2328,37.5
2020-11-30,2105.03,51346003.0,5023821.174,67.8076,10.5633,37.5
2020-12-31,2358.24,52385284.0,5628127.041,74.2188,11.8893,37.5
2021-01-31,2228.78,47056561.0,5319160.394,70.1445,,37.5
2021-02-28,2098.97,55936643.0,5009371.403,66.0592,,37.5
2021-03-31,2393.78,52665766.0,5712974.04,70.3506,11.7975,37.5
2021-04-30,2317.23,44225765.0,5530295.146,68.101,11.4203,37.5
2021-05-31,2303.74,27692953.0,5498155.428,67.7046,11.3538,37.5
2021-06-30,2432.96,34874315.0,5806538.967,69.7795,12.0937,40.5
2021-07-31,2297.1,24022448.0,5482295.636,65.8829,,31.0
2021-08-31,2681.84,37934312.0,6400514.954,76.9175,,31.0
2021-09-30,2659.88,35714969.0,6348125.672,74.4306,13.0337,31.0
2021-10-31,2356.02,43228225.0,5622924.329,65.9278,11.5448,32.0
2021-11-30,2281.59,33939492.0,5445295.229,63.8451,11.1801,32.0
2021-12-31,2323.53,30594157.0,5545387.817,62.3326,11.2189,32.0
2022-01-31,2238.47,37001854.0,5342383.132,60.0507,,32.0
2022-02-28,2138.4,29856418.0,5103547.18,57.3661,,32.0
2022-03-31,2016.87,62344246.0,4813490.139,53.3986,9.659,32.0
2022-04-30,2200.18,41250549.0,5250984.032,58.252,10.5369,32.0
2022-05-31,2316.74,42480566.0,5529175.637,61.3381,11.0951,32.0
2022-06-30,2195.99,41763908.0,5240998.269,56.3364,10.5303,34.0
2022-07-31,2596.48,46191165.0,6196811.994,66.6106,,34.0
2022-08-31,2618.58,29936332.0,6249560.318,67.1776,,34.0
2022-09-30,2654.61,39210626.0,6335555.358,64.6521,12.5776,34.0
2022-10-31,2511.13,28753758.0,5993102.432,61.1575,11.8977,34.0
2022-11-30,2642.7,30536163.0,6307125.304,64.362,12.5211,36.0
2022-12-31,2521.32,29281125.0,6017420.702,60.3041,11.9786,36.0
2023-01-31,2536.77,36603348.0,6054309.284,60.6738,,36.0
2023-02-28,2422.47,28117487.0,5781521.739,57.94,,36.0
2023-03-31,2520.63,31430010.0,6015775.988,58.5239,11.7733,36.0
2023-04-30,2419.17,26493161.0,5773650.608,56.1684,11.2994,36.0
2023-05-31,2626.16,30365224.0,6267652.171,60.9743,12.2662,36.0
2023-06-30,2636.6,26332062.0,6292557.838,60.1826,12.2373,39.0
2023-07-31,2521.07,37079544.0,6016833.304,57.5455,,39.0
2023-08-31,2466.18,30177654.0,5885843.591,56.2927,,39.0
2023-09-30,2427.35,33574737.0,5793152.216,55.4695,11.3261,39.0
2023-10-31,2445.46,33263670.0,5836384.695,55.8835,11.4106,39.0
2023-11-30,2506.06,28264515.0,5981002.037,57.2682,11.6933,40.0
2023-12-31,2622.62,39246576.0,6259193.642,59.7271,12.0987,40.0
2024-01-31,2443.05,40401647.0,5830628.196,55.6376,,40.0
2024-02-29,2374.87,32493485.0,5667919.001,54.085,,40.0
2024-03-31,2229.22,46521368.0,5320296.974,50.9652,10.2264,40.0
2024-04-30,2195.84,46956740.0,5240645.83,50.2022,10.0733,40.0
2024-05-31,2292.91,46271232.0,5472315.529,52.4215,10.5186,40.0
2024-06-30,2434.68,58970810.0,5810656.671,55.3588,11.1197,42.0
2024-07-31,2663.67,51372935.0,6357171.598,60.5655,,42.0
2024-08-31,2734.9,38249879.0,6527164.526,62.1851,,42.0
2024-09-30,2912.4,40179993.0,6950795.83,66.6301,13.4767,42.0
2024-10-31,2489.02,40519438.0,5940354.108,56.944,11.5176,42.0
2024-11-30,2457.42,30116420.0,5864932.229,56.2211,11.3714,53.0
2024-12-31,2290.75,36115482.0,5467146.428,49.9183,10.676,53.0
2025-01-31,2430.5,41906923.0,5800670.908,52.9635,,53.0
2025-02-28,2156.27,35843453.0,5146192.262,46.9878,,53.0
2025-03-31,2223.8,34572546.0,5307374.222,48.8963,10.5766,53.0
2025-04-30,2305.76,48976507.0,5502977.695,50.6984,10.9664,53.0
2025-05-31,2311.87,38148195.0,5517545.161,50.8326,10.9954,53.0
2025-06-30,2259.0,38520242.0,5391372.11,49.0022,10.8015,53.0
2025-07-31,2482.08,40538188.0,5923789.49,53.8413,,53.0
2025-08-31,2618.53,35878090.0,6249442.839,56.8012,,53.0
2025-09-30,2475.39,33810557.0,5907812.269,53.2342,11.9389,53.0
2025-10-31,2427.25,34421461.0,5792917.257,52.1989,11.7067,53.0
2025-11-30,2428.33,29263489.0,5795501.807,52.2222,11.7119,43.0
2025-12-31,2315.9,39772858.0,5441418.404,54.2747,11.0457,43.0
2026-01-31,2373.0,29196300.0,5575580.065,55.6128,,43.0
2026-02-28,2338.1,35884824.0,5493579.33,54.7949,,43.0
2026-03-31,2253.9,6922943.0,5295743.516,52.8217,,43.0
