GODPI IN Equity,price,volume,mc,pe,bm,div
2021-07-31,84.36,31631000.0,59450.5959,36.7342,2.8273,0.25
2021-08-31,57.77,47954840.0,40713.7216,25.1568,1.9362,1.175
2021-09-30,63.95,63664220.0,45065.3981,27.8456,2.1432,1.175
2021-10-31,70.1,77077100.0,49401.2183,30.5247,2.3494,1.175
2021-11-30,52.78,43073155.0,37195.3823,22.9828,1.7689,1.175
2021-12-31,55.49,32336765.0,39105.1869,24.1629,1.8597,1.175
2022-01-31,59.93,41151935.0,42234.1657,26.0962,2.0085,1.175
2022-02-28,63.88,60515940.0,45017.8292,27.8162,2.1409,0.925
2022-03-31,77.29,82171005.0,54468.1906,3.4345,1.6444,0.925
2022-04-30,83.79,88373365.0,59048.9027,3.7233,1.7827,0.925
2022-05-31,59.11,86980235.0,41656.2912,2.6266,1.2576,0.925
2022-06-30,49.94,39299785.0,35193.9635,2.2192,1.0625,0.925
2022-07-31,57.16,30740480.0,40282.0776,2.54,1.2161,0.925
2022-08-31,59.08,41110040.0,41635.1495,2.6253,1.257,1.7
2022-09-30,55.74,39449155.0,39281.3682,2.4769,1.1859,1.7
2022-10-31,52.81,21279745.0,37216.5241,2.3467,1.1236,1.7
2022-11-30,63.37,61007085.0,44658.4194,2.8159,1.3483,1.7
2022-12-31,74.61,66454185.0,52579.5278,3.3154,1.5874,1.7
2023-01-31,79.85,56995920.0,56272.2865,3.5483,1.6989,1.7
2023-02-28,68.4,26730370.0,48203.1859,3.0395,1.4553,1.7
2023-03-31,69.78,40904710.0,49175.7063,5.7047,1.2592,1.7
2023-04-30,71.4,18126340.0,48532.3607,5.8371,1.2884,1.7
2023-05-31,71.92,34068310.0,48885.8177,5.8797,1.2978,1.7
2023-06-30,105.71,176020110.0,71853.7234,8.6421,1.9075,1.7
2023-07-31,113.57,96480685.0,77196.3614,9.2847,2.0493,1.7
2023-08-31,123.86,90391865.0,84190.7311,10.1259,2.235,0.8
2023-09-30,126.71,56938265.0,86127.9471,10.3589,2.2864,0.8
2023-10-31,123.19,61952500.0,83735.3154,10.0711,2.2229,0.8
2023-11-30,137.37,50936845.0,93373.815,11.2304,2.4788,0.8
2023-12-31,151.37,48685355.0,102889.9642,12.3749,2.7314,0.8
2024-01-31,152.32,42054240.0,103535.7029,12.4526,2.7486,0.8
2024-02-29,148.34,52793865.0,100830.3976,12.1272,2.6767,0.8
2024-03-31,151.46,47052795.0,102951.1394,10.0987,2.2899,0.8
2024-04-30,177.99,70338250.0,120984.2421,11.8676,2.691,0.8
2024-05-31,193.42,45832430.0,131472.3979,12.8964,2.9243,0.8
2024-06-30,212.82,63247140.0,144659.0617,14.1899,3.2176,0.8
2024-07-31,224.58,53422005.0,150238.392,14.974,3.3954,0.8
2024-08-31,189.93,61813185.0,127058.4104,12.6637,2.8715,1.25
2024-09-30,222.0,70806130.0,148512.4367,14.802,3.3564,1.25
2024-10-31,195.65,54238974.0,130884.947,13.0451,2.958,1.25
2024-11-30,188.39,22303307.0,126028.1889,12.561,2.8482,1.25
2024-12-31,202.08,80332196.0,135186.4559,13.4738,3.0552,1.25
2025-01-31,180.23,33035164.0,120569.3534,12.0169,2.7249,1.25
2025-02-28,155.75,29366968.0,104192.8469,10.3847,2.3548,1.25
2025-03-31,180.12,49769848.0,120495.7662,13.6042,2.4561,1.25
2025-04-30,182.34,43129103.0,121980.8906,13.7719,2.4864,1.25
2025-05-31,190.48,34683613.0,127480.4501,14.3867,2.5974,1.25
2025-06-30,189.39,28964307.0,126750.9578,14.3044,2.5825,1.25
2025-07-31,194.19,31851941.0,129991.441,14.6669,2.648,1.25
2025-08-31,232.38,79492417.0,155555.9558,17.5514,3.1687,1.0
2025-09-30,244.8,147766519.0,163922.175,18.4894,3.3381,1.0
2025-10-31,283.74,59341697.0,189997.0504,21.4305,3.869,1.0
2025-11-30,235.2,49419598.0,157493.8544,17.7644,3.2072,1.0
2025-12-31,266.07,48669179.0,178212.4642,20.0959,3.6281,1.0
2026-01-31,248.5,41544311.0,166444.1589,18.7689,3.3885,1.0
2026-02-28,266.02,42907664.0,178544.0869,20.0921,3.6274,1.0
2026-03-31,246.4,6972261.0,165375.7684,18.6103,3.3599,1.0
