ESCORTS IN Equity,price,volume,mc,pe,bm,div
2013-10-31,97.0,56266879.0,11889.9575,15.6704,0.7226,2.4
2013-11-30,117.25,61683681.0,14372.1393,18.9418,0.8734,2.4
2013-12-31,137.55,49800971.0,16860.45,22.2213,1.0247,2.4
2014-01-31,124.05,37999072.0,15205.6621,20.0404,0.9241,2.4
2014-02-28,115.0,22964408.0,14096.3414,18.5784,0.8567,2.4
2014-03-31,115.25,30646456.0,14126.9856,18.5703,0.7954,1.2
2014-04-30,126.45,47777928.0,15499.8467,,0.8727,1.2
2014-05-31,124.8,61221888.0,15297.5948,,0.8613,1.2
2014-06-30,135.15,67180300.0,16566.2655,,0.9327,1.2
2014-07-31,119.0,33400557.0,14586.6489,,0.8213,1.2
2014-08-31,113.85,17149341.0,13955.3779,,0.7857,1.2
2014-09-30,152.0,132247006.0,18631.686,,1.049,0.6
2014-10-31,169.75,56729708.0,20807.4256,,1.1715,0.6
2014-11-30,140.1,29649382.0,17173.0211,,0.9669,0.6
2014-12-31,128.55,26994263.0,15757.2581,,0.8872,0.6
2015-01-31,129.15,24310550.0,15830.8042,,0.8913,0.6
2015-02-28,134.35,29418126.0,16468.2204,,0.9272,0.6
2015-03-31,127.35,23280651.0,15610.1658,19.8984,0.8298,0.6
2015-04-30,123.75,19819749.0,15168.8891,19.3359,0.8063,0.6
2015-05-31,111.35,12553074.0,13648.9357,17.3984,0.7255,0.6
2015-06-30,120.2,23949213.0,14733.7411,18.7813,0.7832,0.6
2015-07-31,141.45,34559911.0,17338.4999,22.1016,0.9217,0.6
2015-08-31,174.75,70585077.0,21420.31,27.3047,1.1386,0.6
2015-09-30,152.75,31595489.0,18723.6186,23.8672,0.9953,1.2
2015-10-31,176.2,39110911.0,21598.0465,27.5312,1.1481,1.2
2015-11-30,174.7,20720239.0,21414.1812,27.2969,1.1383,1.2
2015-12-31,171.9,15221257.0,21070.9659,26.8594,1.1201,1.2
2016-01-31,135.15,11469335.0,16566.2655,21.1172,0.8806,1.2
2016-02-29,125.7,10736261.0,15407.914,19.6406,0.819,1.2
2016-03-31,139.25,10998351.0,17068.8307,12.9298,1.1639,1.2
2016-04-30,169.25,27478562.0,20746.1372,15.7154,1.4147,1.2
2016-05-31,174.7,25207468.0,21414.1812,16.2214,1.4602,1.2
2016-06-30,219.9,78018983.0,26954.6562,20.4184,1.8381,1.2
2016-07-31,262.5,50466178.0,32176.4314,24.3739,2.1941,1.2
2016-08-31,325.45,74834750.0,39892.6461,30.219,2.7203,1.2
2016-09-30,375.6,58990617.0,46039.8767,34.8755,3.1395,1.2
2016-10-31,375.75,38246053.0,46058.2632,34.8895,3.1407,1.2
2016-11-30,322.7,32131763.0,39555.5596,29.9636,2.6973,1.2
2016-12-31,296.7,18373838.0,36368.5607,27.5495,2.48,1.2
2017-01-31,363.6,30082737.0,44568.9541,33.7613,3.0392,1.2
2017-02-28,449.05,40077417.0,55043.1486,41.6956,3.7534,1.2
2017-03-31,538.75,39822027.0,66038.2949,14.5922,4.0741,1.2
2017-04-30,547.5,18285724.0,67110.8426,14.8292,4.1403,1.2
2017-05-31,692.95,47310041.0,84939.65,18.7688,5.2402,1.2
2017-06-30,645.15,45216395.0,79080.475,17.4741,4.8787,1.2
2017-07-31,669.35,30054887.0,82046.8356,18.1296,5.0617,1.2
2017-08-31,647.3,37609675.0,79344.0153,17.5324,4.895,1.2
2017-09-30,659.65,27017202.0,80857.8398,17.8669,4.9884,1.5
2017-10-31,760.15,27328080.0,93176.8164,20.5889,5.7484,1.5
2017-11-30,718.25,24119565.0,88040.8441,19.4541,5.4315,1.5
2017-12-31,787.45,39438242.0,96523.1642,21.3284,5.9548,1.5
2018-01-31,811.75,34147448.0,99501.7823,21.9865,6.1386,1.5
2018-02-28,892.85,42653098.0,109442.7655,24.1832,6.7519,1.5
2018-03-31,818.1,17727180.0,100280.1439,19.6564,4.527,1.5
2018-04-30,1004.3,34555135.0,123103.9586,24.1302,5.5574,1.5
2018-05-31,932.45,31544707.0,114296.8099,22.4039,5.1598,1.5
2018-06-30,871.65,19546743.0,106844.1357,20.9431,4.8234,1.5
2018-07-31,928.05,31325485.0,113757.4716,22.2982,5.1355,1.5
2018-08-31,869.75,22510907.0,106611.2396,20.8974,4.8128,2.0
2018-09-30,611.8,28372872.0,74992.534,14.6997,3.3855,2.0
2018-10-31,627.0,41742481.0,76855.7025,15.0649,3.4696,2.0
2018-11-30,704.7,40302207.0,86379.9259,16.9318,3.8995,2.0
2018-12-31,706.1,40084482.0,86551.5336,16.9654,3.9073,2.0
2019-01-31,659.6,49260130.0,80851.7087,15.8481,3.65,2.0
2019-02-28,657.6,38537776.0,80606.555,15.8001,3.6389,2.0
2019-03-31,796.05,50812968.0,97577.3237,14.2969,3.6498,2.0
2019-04-30,738.9,26042787.0,90572.0552,13.2705,3.3878,2.0
2019-05-31,597.95,53666655.0,73294.8442,10.739,2.7415,2.0
2019-06-30,536.45,39135948.0,65756.3662,9.6345,2.4596,2.0
2019-07-31,469.95,62927313.0,57605.0038,8.4402,2.1547,2.5
2019-08-31,510.2,55875993.0,62538.7232,9.1631,2.3392,2.5
2019-09-30,580.35,97313802.0,71137.4911,10.423,2.6608,2.5
2019-10-31,659.35,65627915.0,80821.0645,11.8418,3.0231,2.5
2019-11-30,637.2,38531643.0,78105.9867,11.444,2.9215,2.5
2019-12-31,629.6,45736388.0,77174.4024,11.3075,2.8867,2.5
2020-01-31,803.65,75908734.0,98508.908,14.4334,3.6847,2.5
2020-02-29,780.1,72191358.0,95622.2225,14.0104,3.5767,2.5
2020-03-31,662.6,71847051.0,81219.4394,12.0385,2.6054,2.5
2020-04-30,713.35,70009033.0,87440.2159,12.9606,2.8049,2.5
2020-05-31,903.25,75254141.0,110717.5651,16.4108,3.5516,2.5
2020-06-30,1040.0,66818838.0,127479.9531,18.8953,4.0893,2.5
2020-07-31,1134.0,57346278.0,139002.1797,20.6032,4.4589,2.5
2020-08-31,1087.6,43358579.0,146646.074,19.7602,4.2765,2.5
2020-09-30,1318.45,75838578.0,177772.6335,23.9544,5.1842,2.5
2020-10-31,1200.95,39305781.0,161929.5768,21.8196,4.7222,2.5
2020-11-30,1403.85,36293498.0,189287.5111,25.506,5.52,2.5
2020-12-31,1260.4,41234912.0,169945.492,22.8997,4.9559,2.5
2021-01-31,1205.7,38743265.0,162570.041,21.9059,4.7408,2.5
2021-02-28,1310.9,35630360.0,176754.6378,23.8172,5.1545,2.5
2021-03-31,1287.8,19992153.0,173639.9592,13.975,3.4547,2.5
2021-04-30,1118.6,27074751.0,150825.95,12.1389,3.0008,2.5
2021-05-31,1171.8,35456290.0,157999.1491,12.7162,3.1436,2.5
2021-06-30,1220.1,36117773.0,164511.6589,13.2404,3.2731,2.5
2021-07-31,1184.35,17147498.0,159691.3182,12.8524,3.1772,7.5
2021-08-31,1346.35,49568806.0,181534.5179,14.6104,3.6118,7.5
2021-09-30,1480.1,38183238.0,199568.6411,16.0619,3.9706,7.5
2021-10-31,1569.4,25559779.0,211609.3679,17.0309,4.2102,7.5
2021-11-30,1846.3,67730833.0,248945.0592,20.0358,4.953,7.5
2021-12-31,1908.7,19227406.0,257358.7361,20.713,5.1204,7.5
2022-01-31,1850.35,12440685.0,249491.1392,20.0798,4.9639,7.5
2022-02-28,1850.95,16155250.0,249572.0399,20.0863,4.9655,7.5
2022-03-31,1690.85,23066184.0,223091.7703,22.8308,2.9355,7.5
2022-04-30,1634.85,20340652.0,215703.0964,22.0747,2.8382,7.5
2022-05-31,1629.95,11410313.0,215056.5875,22.0085,2.8297,7.5
2022-06-30,1444.8,7095573.0,190627.7847,19.5085,2.5083,9.5
2022-07-31,1733.0,11535013.0,228653.0667,23.3999,3.0086,7.0
2022-08-31,1994.75,16616590.0,263188.5198,26.9342,3.4631,7.0
2022-09-30,2127.8,18285692.0,280743.2172,28.7308,3.694,7.0
2022-10-31,2038.35,5946543.0,268941.1302,27.523,3.5387,7.0
2022-11-30,2286.5,15728254.0,301682.191,30.8736,3.9696,7.0
2022-12-31,2140.15,8059841.0,282372.6837,28.8975,3.7155,7.0
2023-01-31,2088.4,3850369.0,275544.7574,28.1988,3.6256,7.0
2023-02-28,2075.35,8648700.0,273822.9325,28.0225,3.603,7.0
2023-03-31,1891.05,4558251.0,249506.2792,32.1334,3.0477,7.0
2023-04-30,1981.15,6111918.0,261394.1276,33.6644,3.1929,7.0
2023-05-31,2176.3,6051463.0,287142.3365,36.9805,3.5074,7.0
2023-06-30,2248.4,5873966.0,296655.254,38.2056,3.6236,7.0
2023-07-31,2539.45,6352983.0,335056.5668,43.1512,4.0927,7.0
2023-08-31,3159.25,15353903.0,349091.6311,53.6831,5.0916,7.0
2023-09-30,3185.1,8088876.0,351948.0111,54.1223,5.1332,7.0
2023-10-31,3132.5,8543760.0,346135.8026,53.2285,5.0485,7.0
2023-11-30,3150.3,6903994.0,348102.6716,53.531,5.0772,7.0
2023-12-31,2983.1,6666351.0,329627.3624,50.6899,4.8077,7.0
2024-01-31,2983.25,7600398.0,329643.9371,50.6924,4.8079,7.0
2024-02-29,2856.45,7302425.0,315632.7576,48.5378,4.6036,7.0
2024-03-31,2777.3,3478085.0,306886.8203,32.3205,3.2687,7.0
